,COMEX:黄金:投机性净多头持仓:当周值,COMEX:黄金:投机性净多头持仓占比:当周值,COMEX:1号铜:非商业空头持仓:持仓数量,COMEX:1号铜:非商业多头持仓:持仓数量,COMEX:黄金:非商业多头持仓:持仓数量,COMEX:黄金:非商业空头持仓:持仓数量,COMEX:黄金:非商业空头持仓:持仓数量占比,COMEX:黄金:非商业多头持仓:持仓数量占比
2013-01-06,148519.0,34.7,,,,,,
2013-01-08,,,34638.0,47014.0,193869.0,51061.0,11.6,43.9
2013-01-13,142808.0,32.36,,,,,,
2013-01-15,,,36148.0,48130.0,192955.0,47839.0,10.7,43.1
2013-01-20,145116.0,32.41,,,,,,
2013-01-22,,,38699.0,48234.0,195795.0,43898.0,9.5,42.4
2013-01-27,151897.0,32.92,,,,,,
2013-01-29,,,41305.0,50672.0,181103.0,54155.0,12.6,42.0
2013-02-03,126948.0,29.47,,,,,,
2013-02-05,,,45697.0,61901.0,192806.0,55341.0,13.1,45.5
2013-02-10,137465.0,32.42,,,,,,
2013-02-12,,,44242.0,60104.0,193941.0,67106.0,15.4,44.6
2013-02-17,126835.0,29.15,,,,,,
2013-02-19,,,49258.0,58575.0,195870.0,92219.0,20.6,43.8
2013-02-24,103651.0,23.17,,,,,,
2013-02-26,,,47519.0,46791.0,201956.0,85357.0,19.7,46.5
2013-03-03,116599.0,26.87,,,,,,
2013-03-05,,,54915.0,49328.0,195248.0,87661.0,20.2,44.9
2013-03-10,107587.0,24.76,,,,,,
2013-03-12,,,54295.0,48151.0,201617.0,87110.0,19.5,45.2
2013-03-17,114507.0,25.69,,,,,,
2013-03-19,,,64206.0,48036.0,208895.0,73285.0,16.6,47.4
2013-03-24,135610.0,30.77,,,,,,
2013-03-26,,,70143.0,49956.0,200389.0,67943.0,16.2,47.7
2013-03-31,132446.0,31.56,,,,,,
2013-04-02,,,75877.0,48872.0,202634.0,82428.0,19.8,48.6
2013-04-07,120206.0,28.81,,,,,,
2013-04-09,,,75552.0,47713.0,203812.0,84453.0,20.3,48.9
2013-04-14,119359.0,28.66,,,,,,
2013-04-16,,,68981.0,44854.0,204677.0,75795.0,18.3,49.5
2013-04-21,128882.0,31.2,,,,,,
2013-04-23,,,64755.0,43366.0,197188.0,92933.0,22.4,47.5
2013-04-28,104255.0,25.12,,,,,,
2013-04-30,,,67243.0,43244.0,193310.0,96258.0,22.9,45.9
2013-05-05,97052.0,23.05,,,,,,
2013-05-07,,,61802.0,42612.0,189343.0,99920.0,22.8,43.2
2013-05-12,89423.0,20.42,,,,,,
2013-05-14,,,57425.0,39970.0,186921.0,103195.0,23.3,42.1
2013-05-19,83726.0,18.87,,,,,,
2013-05-21,,,53067.0,39525.0,189401.0,109142.0,24.5,42.5
2013-05-26,80259.0,17.99,,,,,,
2013-05-28,,,52325.0,38759.0,172565.0,115686.0,28.1,42.0
2013-06-02,56879.0,13.84,,,,,,
2013-06-04,,,51433.0,41488.0,170971.0,109771.0,29.4,45.8
2013-06-09,61200.0,16.4,,,,,,
2013-06-11,,,58921.0,40874.0,174015.0,115010.0,30.8,46.5
2013-06-16,59005.0,15.78,,,,,,
2013-06-18,,,74277.0,47838.0,166771.0,123079.0,32.6,44.2
2013-06-23,43692.0,11.59,,,,,,
2013-06-25,,,78588.0,46899.0,164901.0,130749.0,33.5,42.2
2013-06-30,34152.0,8.74,,,,,,
2013-07-02,,,73439.0,44898.0,158712.0,137961.0,33.6,38.7
2013-07-07,20751.0,5.06,,,,,,
2013-07-09,,,72307.0,44259.0,160214.0,143657.0,33.3,37.1
2013-07-14,16557.0,3.84,,,,,,
2013-07-16,,,61783.0,39403.0,156571.0,133109.0,30.2,35.6
2013-07-21,23462.0,5.33,,,,,,
2013-07-23,,,61746.0,38642.0,161197.0,127006.0,29.2,37.1
2013-07-28,34191.0,7.86,,,,,,
2013-07-30,,,70427.0,39333.0,154519.0,126153.0,31.8,38.9
2013-08-04,28366.0,7.14,,,,,,
2013-08-06,,,59435.0,37858.0,153812.0,102177.0,25.8,38.8
2013-08-11,51635.0,13.04,,,,,,
2013-08-13,,,45587.0,38753.0,148524.0,94598.0,24.2,38.0
2013-08-18,53926.0,13.81,,,,,,
2013-08-20,,,44535.0,44415.0,151348.0,90952.0,23.6,39.3
2013-08-25,60396.0,15.67,,,,,,
2013-08-27,,,43565.0,42772.0,150074.0,71785.0,18.7,39.1
2013-09-01,78289.0,20.38,,,,,,
2013-09-03,,,45303.0,40851.0,151951.0,73760.0,19.0,39.1
2013-09-08,78191.0,20.12,,,,,,
2013-09-10,,,46447.0,37874.0,141506.0,72782.0,18.9,36.8
2013-09-15,68724.0,17.89,,,,,,
2013-09-17,,,50892.0,35639.0,138956.0,80160.0,20.8,36.1
2013-09-22,58796.0,15.29,,,,,,
2013-09-24,,,43898.0,36648.0,140468.0,73329.0,19.4,37.1
2013-09-29,67139.0,17.75,,,,,,
2013-10-01,,,40366.0,39032.0,141541.0,68494.0,18.3,37.8
2013-10-06,73047.0,19.52,,,,,,
2013-10-08,,,41764.0,37880.0,140207.0,57890.0,15.6,37.9
2013-10-13,82317.0,22.22,,,,,,
2013-10-15,,,45400.0,37672.0,139663.0,77730.0,20.4,36.6
2013-10-20,61933.0,16.22,,,,,,
2013-10-22,,,41054.0,44669.0,147835.0,71170.0,18.2,37.9
2013-10-27,76665.0,19.64,,,,,,
2013-10-29,,,48325.0,38310.0,153409.0,53173.0,13.7,39.6
2013-11-03,100236.0,25.89,,,,,,
2013-11-05,,,46538.0,36754.0,149031.0,57895.0,15.0,38.5
2013-11-10,91136.0,23.56,,,,,,
2013-11-12,,,58934.0,39966.0,144062.0,82710.0,20.5,35.7
2013-11-17,61352.0,15.19,,,,,,
2013-11-19,,,74311.0,40413.0,140853.0,92733.0,23.3,35.4
2013-11-24,48120.0,12.1,,,,,,
2013-11-26,,,71260.0,41232.0,133414.0,106859.0,27.1,33.8
2013-12-01,26555.0,6.73,,,,,,
2013-12-03,,,70380.0,43029.0,134546.0,111855.0,28.9,34.8
2013-12-08,22691.0,5.87,,,,,,
2013-12-10,,,57508.0,44375.0,133866.0,107486.0,28.5,35.5
2013-12-15,26380.0,6.99,,,,,,
2013-12-17,,,52630.0,55009.0,133068.0,107164.0,27.8,34.5
2013-12-22,25904.0,6.72,,,,,,
2013-12-24,,,56208.0,60943.0,135390.0,108051.0,28.1,35.2
2013-12-29,27339.0,7.1,,,,,,
2013-12-31,,,55653.0,66016.0,137182.0,104959.0,27.7,36.1
2014-01-05,32223.0,8.49,,,,,,
2014-01-07,,,55118.0,67546.0,139244.0,100357.0,26.2,36.4
2014-01-12,38887.0,10.15,,,,,,
2014-01-14,,,52306.0,59343.0,145857.0,101844.0,24.5,35.1
2014-01-19,44013.0,10.59,,,,,,
2014-01-21,,,51418.0,61131.0,146018.0,99435.0,24.2,35.5
2014-01-26,46583.0,11.34,,,,,,
2014-01-28,,,51836.0,51840.0,150158.0,83817.0,21.9,39.2
2014-02-02,66341.0,17.33,,,,,,
2014-02-04,,,59136.0,45717.0,147754.0,82815.0,22.5,40.1
2014-02-09,64939.0,17.63,,,,,,
2014-02-11,,,64957.0,46907.0,156786.0,85585.0,22.7,41.6
2014-02-16,71201.0,18.89,,,,,,
2014-02-18,,,59186.0,45352.0,164478.0,79847.0,20.4,42.1
2014-02-23,84631.0,21.67,,,,,,
2014-02-25,,,53111.0,45032.0,169870.0,60406.0,15.6,43.8
2014-03-02,109464.0,28.25,,,,,,
2014-03-04,,,58950.0,45709.0,171404.0,56238.0,14.3,43.6
2014-03-09,115166.0,29.28,,,,,,
2014-03-11,,,69234.0,47674.0,170482.0,51592.0,12.4,41.0
2014-03-16,118890.0,28.62,,,,,,
2014-03-18,,,77353.0,49027.0,183324.0,46510.0,11.1,43.6
2014-03-23,136814.0,32.53,,,,,,
2014-03-25,,,78333.0,45358.0,169083.0,51766.0,13.0,42.5
2014-03-30,117317.0,29.46,,,,,,
2014-04-01,,,71228.0,45433.0,158152.0,58007.0,16.0,43.5
2014-04-06,100145.0,27.55,,,,,,
2014-04-08,,,63996.0,45495.0,149693.0,61094.0,16.7,41.0
2014-04-13,88599.0,24.25,,,,,,
2014-04-15,,,64895.0,43429.0,147432.0,68140.0,18.4,39.9
2014-04-20,79292.0,21.45,,,,,,
2014-04-22,,,60842.0,40925.0,146880.0,65047.0,17.5,39.4
2014-04-27,81833.0,21.96,,,,,,
2014-04-29,,,56203.0,42322.0,147769.0,62542.0,16.5,39.1
2014-05-04,85227.0,22.54,,,,,,
2014-05-06,,,58351.0,40898.0,160982.0,63026.0,15.6,39.8
2014-05-11,97956.0,24.2,,,,,,
2014-05-13,,,58971.0,48908.0,157176.0,65542.0,16.5,39.6
2014-05-18,91634.0,23.08,,,,,,
2014-05-20,,,56564.0,50971.0,157398.0,60907.0,15.3,39.4
2014-05-25,96491.0,24.16,,,,,,
2014-05-27,,,56390.0,52012.0,155615.0,82224.0,20.7,39.1
2014-06-01,73391.0,18.45,,,,,,
2014-06-03,,,57075.0,47335.0,157332.0,98181.0,25.7,41.2
2014-06-08,59151.0,15.48,,,,,,
2014-06-10,,,55418.0,40089.0,159567.0,98440.0,26.0,42.1
2014-06-15,61127.0,16.14,,,,,,
2014-06-17,,,56201.0,38162.0,162052.0,83757.0,22.1,42.7
2014-06-22,78295.0,20.61,,,,,,
2014-06-24,,,49814.0,41981.0,183433.0,62574.0,15.9,46.7
2014-06-29,120859.0,30.8,,,,,,
2014-07-01,,,54129.0,52365.0,201287.0,55262.0,13.8,50.1
2014-07-06,146025.0,36.34,,,,,,
2014-07-08,,,58447.0,65579.0,203464.0,53443.0,13.0,49.5
2014-07-13,150021.0,36.5,,,,,,
2014-07-15,,,61906.0,76533.0,199950.0,57492.0,14.1,49.0
2014-07-20,142458.0,34.88,,,,,,
2014-07-22,,,61289.0,70091.0,197835.0,51689.0,12.7,48.8
2014-07-27,146146.0,36.03,,,,,,
2014-07-29,,,59519.0,63838.0,188980.0,49827.0,13.3,50.5
2014-08-03,139153.0,37.16,,,,,,
2014-08-05,,,54601.0,62107.0,176386.0,54923.0,15.2,48.9
2014-08-10,121463.0,33.71,,,,,,
2014-08-12,,,48601.0,47168.0,191325.0,43644.0,11.9,52.0
2014-08-17,147681.0,40.12,,,,,,
2014-08-19,,,50174.0,44060.0,183846.0,45870.0,12.5,50.2
2014-08-24,137976.0,37.66,,,,,,
2014-08-26,,,46126.0,46253.0,172022.0,58853.0,16.2,47.3
2014-08-31,113169.0,31.12,,,,,,
2014-09-02,,,46865.0,43075.0,172522.0,75643.0,20.4,46.4
2014-09-07,96879.0,26.08,,,,,,
2014-09-09,,,57920.0,48401.0,177555.0,82414.0,21.4,46.2
2014-09-14,95141.0,24.75,,,,,,
2014-09-16,,,62031.0,48575.0,170749.0,98562.0,25.5,44.2
2014-09-21,72187.0,18.7,,,,,,
2014-09-23,,,70968.0,51273.0,170382.0,106498.0,27.6,44.2
2014-09-28,63884.0,16.56,,,,,,
2014-09-30,,,75466.0,52035.0,171075.0,106205.0,28.0,45.0
2014-10-05,64870.0,17.08,,,,,,
2014-10-07,,,79479.0,54483.0,174075.0,107628.0,28.3,45.8
2014-10-12,66447.0,17.48,,,,,,
2014-10-14,,,78838.0,54973.0,193580.0,108165.0,27.2,48.7
2014-10-19,85415.0,21.47,,,,,,
2014-10-21,,,82309.0,54569.0,207129.0,99145.0,24.1,50.4
2014-10-26,107984.0,26.27,,,,,,
2014-10-28,,,75749.0,54392.0,195885.0,95146.0,23.0,47.3
2014-11-02,100739.0,24.31,,,,,,
2014-11-04,,,73355.0,47492.0,176899.0,113674.0,27.2,42.4
2014-11-09,63225.0,15.15,,,,,,
2014-11-11,,,73757.0,48196.0,177268.0,121225.0,27.3,40.0
2014-11-16,56043.0,12.64,,,,,,
2014-11-18,,,77573.0,52968.0,187955.0,106533.0,23.2,40.9
2014-11-23,81422.0,17.71,,,,,,
2014-11-25,,,83669.0,55391.0,167394.0,91187.0,23.5,43.1
2014-11-30,76207.0,19.63,,,,,,
2014-12-02,,,84928.0,50746.0,170635.0,81305.0,22.1,46.4
2014-12-07,89330.0,24.27,,,,,,
2014-12-09,,,80129.0,47171.0,186861.0,71999.0,19.2,49.8
2014-12-14,114862.0,30.6,,,,,,
2014-12-16,,,76837.0,47122.0,182147.0,63739.0,17.1,49.0
2014-12-21,118408.0,31.85,,,,,,
2014-12-23,,,75702.0,43503.0,180980.0,70070.0,18.7,48.2
2014-12-28,110910.0,29.56,,,,,,
2014-12-30,,,79591.0,44538.0,182897.0,67060.0,17.9,48.9
2015-01-04,115837.0,30.97,,,,,,
2015-01-06,,,87193.0,45928.0,187705.0,65527.0,16.6,47.6
2015-01-11,122178.0,31.01,,,,,,
2015-01-13,,,89221.0,53398.0,192959.0,62733.0,15.6,48.0
2015-01-18,130226.0,32.39,,,,,,
2015-01-20,,,83113.0,46328.0,223257.0,60802.0,14.1,51.9
2015-01-25,162455.0,37.77,,,,,,
2015-01-27,,,87272.0,46610.0,238407.0,49482.0,11.3,54.4
2015-02-01,188925.0,43.11,,,,,,
2015-02-03,,,87221.0,46923.0,229006.0,43991.0,10.5,54.6
2015-02-08,185015.0,44.1,,,,,,
2015-02-10,,,87427.0,45443.0,199036.0,43762.0,11.1,50.6
2015-02-15,155274.0,39.49,,,,,,
2015-02-17,,,82691.0,44526.0,188121.0,56387.0,14.5,48.3
2015-02-22,131734.0,33.82,,,,,,
2015-02-24,,,80639.0,50336.0,184416.0,58245.0,14.6,46.2
2015-03-01,126171.0,31.6,,,,,,
2015-03-03,,,73854.0,51043.0,180561.0,64741.0,16.0,44.6
2015-03-08,115820.0,28.59,,,,,,
2015-03-10,,,74837.0,53309.0,171821.0,89929.0,21.9,41.8
2015-03-15,81892.0,19.93,,,,,,
2015-03-17,,,72795.0,55248.0,162268.0,109175.0,25.4,37.8
2015-03-22,53093.0,12.35,,,,,,
2015-03-24,,,67317.0,58237.0,168234.0,113953.0,26.3,38.8
2015-03-29,54281.0,12.51,,,,,,
