指标名称,中国:销量:新能源汽车:当月值,中国:销量:汽车:当月值,中国:销量:乘用车:当月值,中国:销量:新能源乘用车:当月值
2000/1/31,,125272,,
2000/2/29,,113367,,
2000/3/31,,205295,,
2000/4/30,,193399,,
2000/5/31,,183333,,
2000/6/30,,171152,,
2000/7/31,,153431,,
2000/8/31,,173799,,
2000/9/30,,193029,,
2000/10/31,,171034,,
2000/11/30,,187497,,
2000/12/31,,215608,,
2001/1/31,,121103,,
2001/2/28,,184596,,
2001/3/31,,245686,,
2001/4/30,,240773,,
2001/5/31,,199935,,
2001/6/30,,193678,,
2001/7/31,,177082,,
2001/8/31,,194222,,
2001/9/30,,212928,,
2001/10/31,,182814,,
2001/11/30,,196795,,
2001/12/31,,208930,,
2002/1/31,,187120,,
2002/2/28,,159040,,
2002/3/31,,291339,,
2002/4/30,,339553,,
2002/5/31,,294014,,
2002/6/30,,267416,,
2002/7/31,,261209,,
2002/8/31,,271537,,
2002/9/30,,308763,,
2002/10/31,,283149,,
2002/11/30,,295287,,
2002/12/31,,284714,,
2003/1/31,,323154,,
2003/2/28,,261496,,
2003/3/31,,390078,,
2003/4/30,,382228,,
2003/5/31,,317826,,
2003/6/30,,349779,,
2003/7/31,,336341,,
2003/8/31,,350749,,
2003/9/30,,394973,,
2003/10/31,,360417,,
2003/11/30,,405846,,
2003/12/31,,456451,,
2004/1/31,,304075,,
2004/2/29,,430057,,
2004/3/31,,542598,,
2004/4/30,,497896,,
2004/5/31,,396169,,
2004/6/30,,380097,,
2004/7/31,,345950,,
2004/8/31,,382260,,
2004/9/30,,439099,,
2004/10/31,,404709,,
2004/11/30,,451619,,
2004/12/31,,486651,,
2005/1/31,,366053,243053,
2005/2/28,,318588,213534,
2005/3/31,,582434,355752,
2005/4/30,,536732,337033,
2005/5/31,,466272,317390,
2005/6/30,,517041,375472,
2005/7/31,,433198,315648,
2005/8/31,,418722,292435,
2005/9/30,,495959,354040,
2005/10/31,,451904,319885,
2005/11/30,,549603,393615,
2005/12/31,,620885,455767,
2006/1/31,,530077,418942,
2006/2/28,,479953,344493,
2006/3/31,,721464,485957,
2006/4/30,,672947,468438,
