指标名称,中国:出口金额:人民币:汽车(包括底盘):累计同比,中国:规模以上工业增加值:汽车制造业:当月同比,中国:出口金额:人民币:汽车(包括底盘):当月同比,中国:出口金额:人民币:汽车(包括底盘):当月值,中国:规模以上工业增加值:汽车制造业:累计同比,中国:PPI:汽车制造业:当月同比,中国:库存量:汽车,中国:库存系数:汽车经销商,中国:限额以上企业商品零售额:汽车类:累计同比,中国:限额以上企业商品零售额:汽车类:当月同比,中国:限额以上企业商品零售额:汽车类:当月值,中国:产成品存货:汽车制造
1997-01-31,,,,,,,,,,,13.5,
1997-02-28,,,,,,,,,,,16.2,
1997-03-31,,,,,,,,,,,18.9,
1997-04-30,,,,,,,,,,,21.2,
1997-05-31,,,,,,,,,,,19.7,
1997-06-30,,,,,,,,,,,22.3,
1997-07-31,,,,,,,,,,,24.0,
1997-08-31,,,,,,,,,,,24.8,
1997-09-30,,,,,,,,,,,27.8,
1997-10-31,,,,,,,,,,,27.8,
1997-11-30,,,,,,,,,,,28.3,
1997-12-31,,,,,,,,,,,19.6,
1998-01-31,,,,,,,,,,,13.7,
1998-02-28,,,,,,,,,,,20.0,
1998-03-31,,,,,,,,,,,20.6,
1998-04-30,,,,,,,,,,,20.6,
1998-05-31,,,,,,,,,,,18.0,
1998-06-30,,,,,,,,,,,21.6,
1998-07-31,,,,,,,,,,,26.0,
1998-08-31,,,,,,,,,,,17.6,
1998-09-30,,,,,,,,,,,18.6,
1998-10-31,,,,,,,,,,,23.7,
1998-11-30,,,,,,,,,,,22.1,
1998-12-31,,,,,,,,,,,24.7,
1999-02-28,,,,,,,,,,,,2678158.3
1999-03-31,,,,,,,,,,,,2530656.8
1999-04-30,,,,,,,,,,,,2575578.7
1999-05-31,,,,,,,,,,,,2734242.9
1999-06-30,,,,,,,,,,,,2817572.4
1999-07-31,,,,,,,,,,,,2824824.0
1999-08-31,,,,,,,,,,,,2834611.1
1999-09-30,,,,,,,,,,,,2703151.1
1999-10-31,,,,,,,,,,,,2733345.2
1999-11-30,,,,,,,,,,,,2778915.9
1999-12-31,,,,,,,,,,,,2640078.8
2000-01-31,,,,,,,,,,,25.0,
2000-02-29,,,,,,,,,,,20.5,2695825.2
2000-03-31,,,,,,,,,,,31.7,2586831.6
2000-04-30,,,,,,,,,,,35.6,2649204.9
2000-05-31,,,,,,,,,,,33.6,2632903.4
2000-06-30,,,,,,,,,,,34.9,2771737.9
2000-07-31,,,,,,,,,,,37.9,2808447.4
2000-08-31,,,,,,,,,,,41.0,2880051.1
2000-09-30,,,,,,,,,,,41.4,2855154.1
2000-10-31,,,,,,,,,,,42.4,2832931.1
2000-11-30,,,,,,,,,,,42.4,2833437.7
2000-12-31,,,,,,,,,,,50.2,2778190.8
2001-01-31,,,,,,,,,30.9,30.9,33.5,
2001-02-28,,,,,,,,,56.7,96.2,36.5,2876355.4
2001-03-31,,,,,,,,,42.8,42.2,45.5,2793738.9
2001-04-30,,,,,,,,,38.0,25.3,44.6,2843451.3
2001-05-31,,,,,,,,,36.0,29.8,43.6,2807732.2
2001-06-30,,,,,,,,,32.4,16.6,40.7,2823272.8
2001-07-31,,,,,,,,,29.3,14.5,43.4,2841828.9
2001-08-31,,,,,,,,,26.7,14.4,46.9,2915566.7
2001-09-30,,,,,,,,,24.1,6.5,44.1,2992568.9
2001-10-31,,,,,,,,,21.2,-1.7,41.7,3033944.6
2001-11-30,,,,,,,,,17.9,-9.9,38.2,3112685.4
2001-12-31,,,,,,,,,16.4,-15.5,41.9,3138495.1
2002-01-31,,,,,,,,,27.2,27.2,42.6,
2002-02-28,,,,,,,,,28.9,29.3,47.2,3018262.3
2002-03-31,,,,,,,,,20.7,9.5,49.8,3128937.8
2002-04-30,,,,,,,,,26.3,38.8,61.9,3078435.0
2002-05-31,,,,,,,,,34.1,64.4,71.7,3106163.5
2002-06-30,,,,,,,,,39.8,67.6,68.2,3023094.8
2002-07-31,,,,,,,,,45.4,75.3,76.1,2960415.6
2002-08-31,,,,,,,,,49.9,79.7,84.3,3093051.7
2002-09-30,,,,,,,,,58.0,113.4,94.1,3108444.8
2002-10-31,,,,,,,,,64.6,125.9,94.2,3228329.3
2002-11-30,,,,,,,,,70.6,136.6,90.4,3410123.4
2002-12-31,,,,,,,,,73.0,124.7,95.5,3388582.1
2003-01-31,,,,,,,,,113.8,113.8,91.1,
2003-02-28,,,,,,,,,93.8,77.3,83.7,3830721.5
2003-03-31,,,,,,,,,99.0,107.4,103.3,4012464.5
2003-04-30,,,,,,,,,92.7,80.1,111.5,4070185.1
2003-05-31,,,,,,,,,85.4,61.6,115.9,4163973.5
2003-06-30,,,,,,,,,86.9,92.4,131.2,4251234.1
2003-07-31,,,,,,,,,87.3,85.3,141.0,4251123.5
2003-08-31,,,,,,,,,82.3,60.0,135.5,4384085.9
2003-09-30,,,,,,,,,77.5,52.9,143.9,4549921.2
2003-10-31,,,,,,,,,73.7,48.4,139.8,4465126.9
2003-11-30,,,,,,,,,70.2,42.8,129.1,4543258.9
2003-12-31,,,,,,,,,68.5,54.7,147.7,4359998.8
2004-01-31,,,,,,,,,52.1,52.1,141.3,
2004-02-29,,,,,,,,,60.2,68.5,142.9,4573732.5
2004-03-31,,,,,,,,,56.5,50.5,160.1,4836867.3
2004-04-30,,,,,,,,,54.3,49.1,171.0,5307745.8
2004-05-31,,,,,,,,,53.2,40.1,162.4,5216925.4
2004-06-30,,,,,,,,,43.7,19.8,163.1,5490884.3
2004-07-31,,,,,,,,,36.7,9.0,156.5,5706408.8
2004-08-31,,,,,,,,,32.5,9.8,149.8,5960435.8
2004-09-30,,,,,,,,,29.2,6.5,153.0,6014264.8
2004-10-31,,,,,,,,,26.1,2.1,143.1,6070861.8
2004-11-30,,,,,,,,,24.8,11.8,147.6,6240880.1
2004-12-31,,,,,,,,,23.4,4.6,157.4,6130947.8
2005-01-31,,,,,,,,,20.7,20.7,228.8,
2005-02-28,,,,,,,,,11.0,1.0,182.4,6285041.9
2005-03-31,,,,,,,,,10.2,8.2,230.7,6484540.9
2005-04-30,,,,,,,,,11.1,13.0,254.5,6397408.4
2005-05-31,,,,,,,,,11.9,15.4,241.1,6460963.2
2005-06-30,,,,,,,,,9.7,20.3,269.8,6436132.4
2005-07-31,,,,,,,,,11.1,18.2,278.5,6490025.6
2005-08-31,,,,,,,,,12.1,18.5,262.4,6881128.4
2005-09-30,,,,,,,,,13.1,21.0,267.9,7085599.3
2005-10-31,,,,,,,,,14.4,26.7,276.5,6969709.2
2005-11-30,,,,,,,,,15.7,28.8,281.3,6969755.7
2005-12-31,,,,,,,,,16.6,44.8,361.1,6693485.9
2006-01-31,,,,,,,,,27.5,27.5,321.9,
2006-02-28,,,,,,,,,29.5,31.0,274.8,6789424.2
2006-03-31,,,,,,,,,29.4,31.2,341.5,7122980.9
2006-04-30,,,,,,,,,28.6,26.3,347.1,7241998.1
2006-05-31,,,,,,,,,28.7,29.4,334.7,7346686.9
2006-06-30,,,,,,,,,27.7,22.9,342.4,7670577.6
2006-07-31,,,,,,,,,25.5,13.6,318.0,8125324.7
2006-08-31,,,,,,,,,25.2,23.3,338.4,8163696.4
2006-09-30,,,,,,,,,26.0,31.6,363.7,8409504.1
2006-10-31,,,,,,,,,25.9,24.7,353.4,8537134.1
2006-11-30,,,,,,,,,26.1,27.7,371.9,8802947.1
2006-12-31,,,,,,,,,26.3,28.5,454.0,8387276.1
2007-01-31,,,,,,,,,47.9,47.9,476.0,
2007-02-28,,,,,,,,,48.1,48.8,409.0,8882728.2
2007-03-31,,,,,,,,,38.5,21.8,415.9,
2007-04-30,,,,,,,,,38.5,38.6,481.2,
2007-05-31,,,,,,,,,37.7,34.2,449.3,9631831.9
2007-06-30,,,,,,,,,36.8,33.1,455.6,
2007-07-31,,,,,,,,,36.9,42.7,453.8,
2007-08-31,,,,,,,,,38.1,42.3,481.5,1.01871387E7
2007-09-30,,,,,,,,,38.1,38.1,502.3,
2007-10-31,,,,,,,,,37.9,36.1,480.8,
2007-11-30,,,,,,,,,37.6,35.0,502.1,1.1175042E7
2007-12-31,,,,,,,,,36.9,31.3,596.4,
2008-01-31,,,,,,,,,39.6,39.6,664.3,
2008-02-29,,,,,,,,,33.8,27.0,519.3,1.04464267E7
2008-03-31,,,,,,,,,37.1,44.1,599.4,
2008-04-30,,,,,,,,,34.0,25.7,604.9,
2008-05-31,,,,,,,,,33.6,32.0,593.2,1.19014466E7
2008-06-30,,,,,,,,,33.4,32.6,604.1,
2008-07-31,,,,,,,,,32.6,27.8,579.9,
2008-08-31,,,,,,,,,30.8,19.0,573.1,1.2264415E7
2008-09-30,,,,,,,,,29.1,16.7,586.5,
2008-10-31,,,,,,,,,28.1,19.6,575.2,
2008-11-30,,,,,,,,,26.1,7.7,540.7,1.27080813E7
2008-12-31,,,,,,,,,25.3,18.1,704.6,
2009-01-31,,,,,,,,,4.2,4.2,782.1,
2009-02-28,,,,,,,,,9.3,15.5,707.2,1.10364662E7
2009-03-31,,,,,,,,,11.1,17.5,820.2,
2009-04-30,,,,,,,,,13.5,18.5,880.9,
2009-05-31,,,,,,,,,15.6,23.8,905.9,1.19216244E7
2009-06-30,,,,,,,,,18.1,30.1,979.2,
2009-07-31,,,,,,,,,20.1,32.0,959.1,
2009-08-31,,,,,,,,,21.9,34.8,973.5,1.14524332E7
2009-09-30,,,,,,,,,24.5,44.5,1041.0,
2009-10-31,,,,,,,,,26.5,43.6,1026.2,
2009-11-30,,,,,,,,,29.5,61.5,1095.6,1.23406162E7
2009-12-31,,,,,,,,,32.3,57.7,1365.5,
2010-01-31,,,,,,,,,49.1,49.1,1273.1,
2010-02-28,,,,,,,,,41.7,33.4,1014.4,1.32765509E7
2010-03-31,,,,,,,,,39.8,36.2,1196.0,
2010-04-30,,,,,,,,,39.0,36.9,1281.8,
2010-05-31,,,,,,,,,39.2,39.6,1324.3,1.31811345E7
2010-06-30,,,,,,,,,37.1,28.3,1315.9,
2010-07-31,,,,,,,,,35.6,27.6,1340.1,
2010-08-31,,,,,,,,,35.6,35.2,1404.5,1.33435334E7
2010-09-30,,,,,,,,,34.9,29.7,1479.7,
2010-10-31,,,,,,,,,34.6,32.2,1436.1,
2010-11-30,,,,,,,,,34.5,33.6,1568.5,1.51515028E7
2010-12-31,,,,,,,,,34.8,37.2,2008.5,
2011-01-31,,,,,,,,,16.0,16.0,1607.3,
2011-02-28,,,,,,,,,10.9,4.2,1202.9,1.71176149E7
2011-03-31,,,,,,,,,14.2,18.7,1624.0,1.76214935E7
2011-04-30,,,,,,,,,14.1,13.2,1668.4,1.7611038E7
2011-05-31,,,,,,,,,14.2,13.6,1675.2,1.68911814E7
2011-06-30,,,,,,,,,15.0,16.9,1700.5,1.66618302E7
2011-07-31,,,,,,,,,15.0,11.9,1638.2,1.6716157E7
2011-08-31,,,,,,,,,14.9,12.4,1745.7,1.71080883E7
2011-09-30,,,,,,,,,16.0,18.7,1901.5,1.70335208E7
2011-10-31,,,,,,,,,15.6,12.6,1745.7,1.72656488E7
2011-11-30,,,,,,,,,15.2,11.4,1896.9,1.7748096E7
2011-12-31,,,,,,,,,14.6,10.2,2371.1,1.76515172E7
2012-01-31,,,,,,,,1.49,,,,
2012-02-29,,,,,5.9,,,2.32,12.7,12.7,,1.73817159E7
2012-03-31,,10.9,,,8.0,,73.33,1.53,11.0,8.1,1887.5,1.736278E7
2012-04-30,,10.5,,,8.4,,75.74,1.72,10.3,8.2,1738.0,1.71222802E7
2012-05-31,,16.4,,,9.7,,72.89,1.88,9.8,8.0,1921.5,1.67598627E7
2012-06-30,,12.7,,,10.2,,68.85,1.98,9.1,6.2,1957.3,1.63786277E7
2012-07-31,,9.8,,,10.1,,73.63,1.7,8.5,4.7,1844.7,1.70058268E7
2012-08-31,,9.7,,,10.4,,73.17,1.65,7.7,2.4,1953.7,1.70416406E7
2012-09-30,,6.3,,,9.7,,77.63,1.5,6.9,1.7,2057.8,1.70876943E7
2012-10-31,,5.9,,,9.2,,80.02,1.54,6.9,7.0,1987.2,1.73760917E7
2012-11-30,,6.5,,,8.6,,77.75,1.33,7.1,8.3,2214.5,1.72158122E7
2012-12-31,,6.6,,,8.4,,75.73,0.97,7.3,9.0,2681.4,1.71302348E7
2013-01-31,,,,,,,68.98,1.1,,,,
2013-02-28,,,,,11.2,,66.62,2.01,6.9,6.9,,1.75019004E7
2013-03-31,,10.2,,,10.8,,72.1,1.63,6.4,5.5,2188.7,1.81590941E7
2013-04-30,,12.9,,,11.4,,78.04,1.68,8.1,13.0,2184.4,1.83842559E7
2013-05-31,,13.3,,,11.9,,80.12,1.58,8.4,9.7,2332.9,1.86636692E7
2013-06-30,,10.6,,,11.7,,74.18,1.53,8.8,11.4,2408.3,1.82394483E7
2013-07-31,,14.1,,,12.0,,81.28,1.46,9.0,9.1,2250.9,1.86278468E7
2013-08-31,,13.9,,,12.2,-0.7,83.88,1.35,8.7,7.0,2306.5,1.89330598E7
2013-09-30,,17.7,,,12.9,-0.7,83.02,1.19,9.3,13.2,2567.4,1.88150694E7
2013-10-31,,18.2,,,13.5,-1.0,81.23,1.29,9.8,14.2,2497.9,1.86800947E7
2013-11-30,,20.3,,,14.3,-1.0,89.98,1.38,10.0,11.6,2695.5,1.93268152E7
2013-12-31,,20.8,,,14.9,-1.0,90.23,1.0,10.4,13.4,3295.7,1.98085968E7
2014-01-31,,,,,,-1.0,,0.97,,,,
2014-02-28,,,,,15.5,-0.8,83.31,2.33,11.47,11.47,,1.96343427E7
2014-03-31,,11.7,,,14.0,-0.7,86.11,1.38,12.3,14.0,2669.3,2.05853043E7
2014-04-30,,11.5,,,13.3,-0.6326,91.92,1.52,12.3,12.3,2619.4,2.08456835E7
2014-05-31,,13.4,,,13.3,-0.5029,98.63,1.53,11.3,7.6,2602.5,2.12242305E7
2014-06-30,,13.6,,,13.4,-0.5,99.58,1.69,10.5,6.9,2769.4,2.11012397E7
2014-07-31,,12.8,,,13.4,-0.4,109.94,1.62,10.1,8.1,2610.2,2.22858217E7
2014-08-31,,8.5,,,12.8,-0.4,110.27,1.56,9.5,5.3,2526.9,2.27424887E7
2014-09-30,0.7,10.7,,60.9281,12.5,-0.4,113.44,1.42,9.1,6.7,2918.7,2.32491558E7
2014-10-31,1.2,12.6,,59.2044,12.5,-0.4,119.09,1.48,8.6,4.5,2820.5,2.38026238E7
2014-11-30,-0.4,9.0,,62.2256,12.1,-0.4,126.01,1.83,7.9,2.0,2834.7,2.44050637E7
2014-12-31,3.6,8.5,,95.2286,11.8,-0.4,114.69,1.53,7.7,6.1,3745.7,2.3356943E7
2015-01-31,-14.7,,,61.6812,,-0.5,111.72,1.2,,,,
2015-02-28,14.6,,,57.6435,8.4,-0.5,114.09,1.89,10.8088,10.8088,,2.35410641E7
2015-03-31,2.7,6.3,,48.3814,7.6,-0.6,121.74,1.77,6.5464,-1.3,2683.9719,2.49573357E7
2015-04-30,-0.2,5.0,,60.9414,6.9,-0.8,130.4,1.67,5.2718,1.6,2732.4965,2.52223831E7
2015-05-31,-1.4,4.4,,63.3879,6.4,-1.1,136.75,1.7,4.6081,2.1,2813.3755,2.55336627E7
2015-06-30,-0.9,7.9,,58.9357,6.7,-0.9,141.59,1.68,4.6382,4.8,2959.6687,2.59881394E7
2015-07-31,-4.3,-0.5,,63.0315,5.8,-1.1,143.54,1.65,4.3288,2.5,2720.6001,2.56292631E7
2015-08-31,-5.8,0.2,,54.9987,5.2,-1.2,131.01,1.52,4.4349,5.2,2758.4644,2.55899732E7
2015-09-30,-4.4,2.7,,65.1462,4.9,-1.0,118.46,1.56,4.2,2.7,3076.3,2.50521428E7
2015-10-31,-5.8,7.3,,47.4912,5.2,-1.1,115.15,1.29,4.523,7.1,3117.4521,2.52714038E7
2015-11-30,-6.3,13.0,,54.9912,6.1,-1.1,118.73,1.4,4.9713,8.96,3368.0741,2.5764E7
2015-12-31,-9.6,12.0,,64.1061,6.7,-1.2,105.79,1.02,5.3,8.1,4164.6,2.4211E7
2016-01-31,-34.5,,,40.4517,,-1.1,101.2,0.99,,,,
2016-02-29,-30.2,,,42.9553,8.1,-1.2,105.0,1.99,5.4,5.4,,2.3621E7
2016-03-31,-19.3,11.4,,52.1203,9.5,-1.2,113.2,1.55,7.7,12.3,3076.1,2.497E7
