指标名称,中国:民航客运量:当月值,中国:民航客运量:国际航线:当月值,中国:民航客运量:国内航线:当月值,中国:铁路货运量:当月值,中国:铁路货运量:累计同比,中国:铁路货运量:当月同比,中国:铁路客运量:当月值
1995-01-31,,,,,-1.7,,
1995-02-28,,,,,1.1,,
1995-03-31,,,,,1.0,,
1995-04-30,,,,,0.8,,
1995-05-31,,,,,0.6,,
1995-06-30,,,,,0.8,,
1995-07-31,,,,,1.3,,
1995-08-31,,,,,1.3,,
1995-09-30,,,,,1.1,,
1995-10-31,,,,,1.0,,
1995-11-30,,,,,0.9,,
1995-12-31,,,,,1.4,,
1996-01-31,,,,,5.7,,
1996-02-29,,,,,4.9,,
1996-03-31,,,,,3.3,,
1996-04-30,,,,,2.6,,
1996-05-31,,,,,2.1,,
1996-06-30,,,,,1.9,,
1996-07-31,,,,,1.9,,
1996-08-31,,,,,1.4,,
1996-09-30,,,,,1.5,,
1996-10-31,,,,,1.5,,
1996-11-30,,,,,1.5,,
1996-12-31,,,,,1.4,,
1997-01-31,,,,,-1.7,,
1997-02-28,,,,,-2.3,,
1997-03-31,,,,,-1.3,,
1997-04-30,,,,,-1.0,,
1997-05-31,,,,,-1.1,,
1997-06-30,,,,,-0.9,,
1997-07-31,,,,,-0.7,,
1997-08-31,,,,,-0.5,,
1997-09-30,,,,,-0.4,,
1997-10-31,,,,,-0.3,,
1997-11-30,,,,,0.0,,
1997-12-31,,,,,0.1,,
1998-01-31,,,,,-7.8,,
1998-02-28,,,,,-7.4,,
1998-03-31,,,,,-6.4,,
1998-04-30,,,,,-5.4,,
1998-05-31,,,,,-5.0,,
1998-06-30,,,,,-5.9,,
1998-07-31,,,,,-6.5,,
1998-08-31,,,,,-6.8,,
1998-09-30,,,,,-6.7,,
1998-10-31,,,,,-6.3,,
1998-11-30,,,,,-5.7,,
1998-12-31,,,,,-4.8,,
1999-01-31,0.04,,,1.37,10.4,10.4,0.73
1999-02-28,0.05,,,1.14,5.9,,0.86
1999-03-31,0.04,,,1.31,2.6,,0.85
1999-04-30,0.05,,,1.29,2.2,,0.78
1999-05-31,0.05,,,1.34,2.0,,0.81
1999-06-30,0.05,,,1.28,2.6,,0.73
1999-07-31,0.06,,,1.28,3.2,,0.88
1999-08-31,0.07,,,1.31,3.6,,0.91
1999-09-30,0.05,,,1.31,3.6,,0.78
1999-10-31,0.06,,,1.37,3.3,,0.83
1999-11-30,0.05,,,1.32,2.6,,0.73
1999-12-31,0.04,,,1.35,2.4,,0.72
2000-01-31,0.05,,,1.31,-3.7,-3.7,0.84
2000-02-29,0.05,,,1.22,1.2,,0.94
2000-03-31,0.05,,,1.41,3.7,,0.82
2000-04-30,0.06,,,1.37,3.6,,0.82
2000-05-31,0.06,,,1.43,4.2,,0.89
2000-06-30,0.05,,,1.41,5.0,,0.75
2000-07-31,0.06,,,1.41,5.8,,0.89
2000-08-31,0.07,,,1.42,6.1,,0.93
2000-09-30,0.06,,,1.39,6.1,,0.79
2000-10-31,0.07,,,1.43,5.8,,0.83
2000-11-30,0.05,,,1.37,5.6,,0.72
2000-12-31,0.05,,,1.39,5.5,,0.72
2001-01-31,0.06,,,1.37,5.4,5.4,0.93
2001-02-28,0.04,,,1.31,5.9,,0.85
2001-03-31,0.05,,,1.52,6.9,,0.81
2001-04-30,0.07,,,1.48,7.0,,0.81
2001-05-31,0.07,,,1.55,7.3,,0.87
2001-06-30,0.06,,,1.49,7.0,,0.75
2001-07-31,0.07,,,1.52,7.2,,0.91
2001-08-31,0.08,,,1.54,7.3,,0.95
2001-09-30,0.07,,,1.51,7.4,,0.81
2001-10-31,0.07,,,1.57,7.7,,0.85
2001-11-30,0.06,,,1.49,7.8,,0.72
2001-12-31,0.05,,,1.51,7.9,,0.72
2002-01-31,0.06,,,1.61,17.4,17.4,0.78
2002-02-28,0.07,,,1.4,12.4,,0.93
2002-03-31,0.07,,,1.58,9.5,,0.87
2002-04-30,0.08,,,1.53,7.9,,0.8
2002-05-31,0.07,,,1.6,7.1,,0.85
2002-06-30,0.06,,,1.54,6.4,,0.73
2002-07-31,0.07,,,1.58,6.1,,0.91
2002-08-31,0.09,,,1.59,5.6,,0.96
2002-09-30,0.08,,,1.55,5.2,,0.83
2002-10-31,0.08,,,1.61,4.9,,0.86
2002-11-30,0.07,,,1.55,4.8,,0.73
2002-12-31,0.06,,,1.55,4.6,,0.74
2003-01-31,0.07,,,1.56,-3.4,-3.4,0.9
2003-02-28,0.07,,,1.44,-0.5,,0.96
2003-03-31,0.07,,,1.68,1.8,6.2,0.83
2003-04-30,0.06,,,1.61,2.7,5.2,0.71
2003-05-31,0.02,,,1.73,3.8,8.0,0.33
2003-06-30,0.03,,,1.69,4.8,10.03,0.53
2003-07-31,0.08,,,1.71,5.4,8.7,0.83
2003-08-31,0.1,,,1.72,5.8,8.6,0.95
2003-09-30,0.1,,,1.65,5.9,6.5,0.84
2003-10-31,0.1,,,1.71,5.9,6.4,0.88
2003-11-30,0.09,,,1.65,6.0,6.7,0.78
2003-12-31,0.08,,,1.74,6.5,12.4,0.76
2004-01-31,0.1,,,1.76,13.2,13.2,1.05
2004-02-29,0.08,,,1.65,13.4,14.4,0.95
2004-03-31,0.09,,,1.81,11.4,7.9,0.83
2004-04-30,0.1,,,1.74,10.4,7.4,0.83
2004-05-31,0.1,,,1.83,9.7,5.8,0.91
2004-06-30,0.09,,,1.8,9.0,6.1,0.82
2004-07-31,0.12,,,1.86,8.6,8.0,1.0
2004-08-31,0.12,,,1.9,8.8,9.9,1.03
2004-09-30,0.11,,,1.84,9.0,11.0,0.85
2004-10-31,0.11,,,1.91,9.2,11.1,0.9
2004-11-30,0.1,,,1.84,9.4,10.9,0.77
2004-12-31,0.09,,,1.84,9.0,5.0,0.78
2005-01-31,0.09,,,2.21,11.6,11.6,0.93
2005-02-28,0.1,,,1.98,8.6,5.3,1.06
2005-03-31,0.1,,,2.23,8.5,8.0,0.93
2005-04-30,0.11,,,2.17,9.3,9.5,0.91
2005-05-31,0.11,,,2.25,9.1,7.6,0.97
2005-06-30,0.11,,,2.19,8.9,6.7,0.86
2005-07-31,0.13,,,2.25,8.4,5.6,1.08
2005-08-31,0.13,,,2.25,7.7,3.4,1.12
2005-09-30,0.12,,,2.21,7.3,4.6,0.94
2005-10-31,0.13,,,2.35,7.3,7.4,1.0
2005-11-30,0.12,,,2.31,7.5,9.3,0.86
2005-12-31,0.11,,,2.34,8.2,9.5,0.85
2006-01-31,0.11,,,2.22,-0.5,-0.2,1.07
2006-02-28,0.11,98.1,1018.0000000000001,2.11,2.5,5.6,1.13
2006-03-31,0.13,102.7,1150.0,2.4,4.1,7.1,0.99
2006-04-30,0.14,117.79999999999998,1234.6000000000001,2.36,5.1,8.0,0.99
2006-05-31,0.13,113.10000000000001,1180.1000000000001,2.46,5.8,8.5,1.07
2006-06-30,0.12,110.8,1129.6,2.4,6.3,8.8,0.96
2006-07-31,0.15,125.6,1382.8,2.44,6.5,7.4,1.2
2006-08-31,0.16,137.79999999999998,1429.8000000000002,2.49,7.0,10.1,1.22
2006-09-30,0.14,124.4,1292.1000000000001,2.46,7.3,10.2,1.02
2006-10-31,0.15,135.5,1318.0,2.56,7.4,8.4,1.1
2006-11-30,0.13,120.5,1201.2,2.5,7.4,7.0,0.93
2006-12-31,0.12,116.8,1116.1000000000001,2.51,6.9,7.1,0.92
2007-01-31,0.12,116.60000000000001,1125.1,2.61,17.1,17.1,0.99
2007-02-28,0.14,126.1,1237.8000000000002,2.32,14.4,13.5,1.11
2007-03-31,0.15,133.6,1349.4,2.56,11.6,6.4,1.2
2007-04-30,0.16,139.2,1423.7,2.54,11.3,8.5,1.03
2007-05-31,0.15,136.3,1410.3,2.64,10.7,7.7,1.14
2007-06-30,0.15,136.70000000000002,1335.1,2.59,10.5,8.7,1.02
2007-07-31,0.17,151.5,1593.2,2.66,10.6,9.8,1.31
2007-08-31,0.18,163.39999999999998,1657.7,2.65,10.1,6.7,1.35
2007-09-30,0.16,143.7,1481.8,2.6,9.5,6.4,1.14
2007-10-31,0.17,152.2,1531.8,2.71,9.1,5.9,1.21
2007-11-30,0.15,138.8,1392.0,2.59,8.7,4.1,1.03
2007-12-31,0.14,139.7,1302.8,2.69,8.6,6.7,1.07
2008-01-31,0.15,142.9,1339.1000000000001,2.67,1.4,1.4,1.19
2008-02-29,0.15,141.6,1360.8999999999999,2.56,4.4,7.5,1.29
2008-03-31,0.16,133.79999999999998,1447.6,2.86,7.1,10.0,1.19
2008-04-30,0.17,141.1,1518.3,2.76,8.3,7.4,1.16
2008-05-31,0.15,133.0,1403.3,2.83,8.2,5.7,1.17
2008-06-30,0.14,115.00000000000001,1302.2,2.75,7.1,4.7,1.15
2008-07-31,0.17,121.9,1596.0,2.81,6.8,4.1,1.38
2008-08-31,0.16,120.60000000000001,1475.1,2.9,7.2,8.9,1.41
2008-09-30,0.16,110.8,1530.4,2.8,7.4,7.2,1.25
2008-10-31,0.18,126.4,1707.9999999999998,2.79,6.8,1.3,1.26
2008-11-30,0.1652,113.3,1538.7,2.47,5.8,-6.1,1.08
2008-12-31,0.1567,109.2,1458.0,2.4517,4.6,-10.4,1.0333
2009-01-31,0.1748,120.60000000000001,1626.9999999999998,2.5149,-6.9727,-6.9727,1.3282
2009-02-28,0.1701,105.5,1596.3000000000002,2.3404,-6.7,-9.5,1.3591
2009-03-31,0.1804,116.89999999999999,1687.5,2.6521,-6.3,-8.2,1.1768
2009-04-30,0.1883,123.80000000000001,1759.6,2.6017,-5.7,-6.9,1.249
2009-05-31,0.1813,109.6,1703.4999999999998,2.7805,-4.6,-2.6,1.2888
2009-06-30,0.1771,100.60000000000001,1670.9,2.7355,-4.0,-1.5,1.1519
2009-07-31,0.2103,122.3037,1980.4875,2.8456,-3.3,0.3,1.4188
2009-08-31,0.2264,142.3383,2121.2781999999997,2.8911,-2.9,-1.3,1.5007
2009-09-30,0.1931,127.2852,1803.4086,2.8133,-2.6,-0.6,1.2179
2009-10-31,0.217,136.2332,2034.4989,2.9385,-1.9,3.7,1.358
2009-11-30,0.1958,127.2,1831.1000000000001,2.8224,-0.7,12.1,1.1065
2009-12-31,0.1874,136.1,1690.6000000000001,2.9368,1.9,18.4,1.0893
2010-01-31,0.194,136.3,1804.5,3.0628,18.0,18.0,1.2724
2010-02-28,0.2025,148.84040000000002,1875.9462,2.7918,18.5,17.2,1.422
2010-03-31,0.2172,154.70000000000002,2017.8,3.1593,18.0,17.4,1.409
2010-04-30,0.2157,160.2,1996.5,2.9824,16.2,14.1,1.3269
2010-05-31,0.2153,156.4,1996.3999999999999,3.1008,15.3,12.8,1.3784
2010-06-30,0.2185,156.1,2028.8,2.9994,14.4,10.3,1.3364
2010-07-31,0.2547,176.3,2370.9,3.0814,13.6,8.9,1.6001
2010-08-31,0.263,190.20000000000002,2439.4,3.0705,12.8,7.0,1.6218
2010-09-30,0.226,167.39999999999998,2092.7,2.9919,12.1,7.2,1.3819
2010-10-31,0.2448,173.2,2274.4,3.1308,11.7,7.4,1.5284
2010-11-30,0.2078,149.6,1928.8,3.0435,11.4,8.3,1.2346
2010-12-31,0.2103,158.8,1944.3000000000002,3.085,9.3,4.8,1.2189
2011-01-31,0.2267,171.1,2095.6,3.2695,7.9,7.9,1.5195
2011-02-28,0.2163,164.0,1999.2,2.9448,7.8,6.6,1.5722
2011-03-31,0.2282,158.9,2122.7,3.3042,7.8,6.0,1.4112
2011-04-30,0.2437,161.6,2275.2000000000003,3.1153,7.7,4.9,1.5545
2011-05-31,0.2407,158.5,2248.5,3.2985,7.8,6.6,1.5309
2011-06-30,0.2325,165.7,2159.0,3.2133,8.0,6.6,1.5076
2011-07-31,0.2732,195.0,2537.0,3.2686,7.9,6.0,1.816
2011-08-31,0.2758,199.89999999999998,2558.5,3.2497,7.8,5.7,1.7862
2011-09-30,0.2501,184.3,2316.9,3.2428,8.0,8.6,1.6138
2011-10-31,0.2638,192.10000000000002,2445.6,3.341,8.1,6.9,1.6256
2011-11-30,0.2371,168.8,2201.7,3.2446,8.0,6.5,1.3413
2011-12-31,0.23,175.1,2125.1,3.3098,8.0,6.2,1.3146
2012-01-31,0.2567,190.1,2376.9,3.3897,2.8,2.8,1.6468
2012-02-29,0.2349,166.3,2182.7000000000003,3.1256,3.8,3.9,1.5573
