指标名称,秦皇岛港:库存:煤炭
2002-01-23,244.5
2002-02-07,226.7
2002-03-20,316.0
2002-03-27,340.3
2002-04-24,330.5
2002-05-08,336.0
2002-05-29,329.3
2002-06-05,298.3
2002-06-19,332.7
2002-07-03,321.1
2002-07-10,339.2
2002-07-17,357.1
2002-07-25,313.8
2002-08-07,281.6
2002-08-14,255.6
2002-08-21,286.3
2002-09-05,266.6
2002-09-11,273.8
2002-09-18,285.5
2002-09-25,277.4
2002-10-23,276.4
2002-11-06,258.7
2002-11-20,256.5
2002-11-27,245.8
2002-12-04,251.9
2002-12-18,278.5
2003-01-02,245.3
2003-01-08,253.6
2003-01-15,248.0
2003-02-12,296.1
2003-02-19,284.9
2003-02-26,290.7
2003-03-12,309.8
2003-03-19,306.8
2003-03-26,353.2
2003-04-02,328.0
2003-04-09,310.8
2003-04-16,324.4
2003-05-07,345.3
2003-05-14,353.1
2003-05-21,388.2
2003-06-04,388.2
2003-07-02,321.5
2003-07-09,341.8
2003-08-13,307.6
2003-08-21,271.3
2003-09-24,272.9
2003-10-09,253.1
2003-10-30,277.0
2003-11-04,266.5
2003-11-11,260.7
2003-11-26,226.4
2003-12-02,219.2
2003-12-17,206.6
2003-12-23,227.9
2004-01-05,277.5
2004-01-29,273.8
2004-02-08,255.7
2004-02-11,266.6
2004-02-19,274.3
2004-02-26,276.9
2004-03-03,273.7
2004-03-10,282.7
2004-03-18,267.6
2004-03-24,265.6
2004-03-31,255.8
2004-04-06,223.2
2004-04-14,204.9
2004-04-26,214.3
2004-05-18,275.3
2004-05-26,288.8
2004-06-02,284.3
2004-06-15,289.5
2004-06-23,295.3
2004-06-29,291.8
2004-07-07,279.3
2004-07-14,260.2
2004-07-27,272.0
2004-08-04,279.7
2004-08-10,278.5
2004-08-17,248.8
2004-08-31,253.4
2004-09-08,281.6
2004-09-15,306.0
2004-09-22,305.2
2004-09-29,271.2
2004-10-08,283.7
2004-10-12,282.1
2004-10-20,263.5
2004-11-10,247.5
2004-11-24,255.4
2004-12-01,266.5
2004-12-08,224.6
2004-12-22,207.5
2005-01-13,294.1
2005-01-19,287.9
2005-02-17,407.9
2005-02-23,409.3
2005-03-01,368.3
2005-03-07,407.2
2005-03-16,422.8
2005-03-23,417.2
2005-03-29,400.8
2005-04-06,382.0
2005-04-13,343.6
2005-04-19,302.7
2005-04-27,298.1
2005-05-07,306.9
2005-05-18,363.6
2005-05-25,421.8
2005-05-31,407.2
2005-06-09,404.0
2005-06-15,410.7
2005-06-21,382.4
2005-06-28,375.4
2005-07-06,402.8
2005-07-12,395.1
2005-07-20,385.6
2005-07-26,404.3
2005-08-02,419.0
2005-08-09,440.7
2005-08-17,446.1
2005-08-23,400.0
2005-08-31,330.8
2005-09-07,274.1
2005-09-15,292.5
2005-09-21,357.6
2005-09-27,389.1
2005-10-06,401.2
2005-10-13,415.2
2005-10-26,423.9
2005-11-02,424.7
2005-11-09,477.7
2005-11-17,439.2
2005-11-24,431.6
2005-11-30,403.6
2005-12-06,418.3
2005-12-15,405.9
2005-12-20,405.3
2005-12-27,382.6
2006-01-03,382.6
2006-01-13,317.9
2006-01-25,308.1
2006-02-25,373.1
2006-02-28,402.5
2006-03-04,400.9
2006-03-11,376.1
2006-03-18,362.5
2006-03-25,355.0
2006-04-01,357.0
2006-04-08,378.1
2006-04-15,365.0
2006-04-22,388.4
2006-05-13,486.5
2006-05-20,485.8
2006-05-27,506.8
2006-06-03,538.8
2006-06-10,576.6
2006-06-17,597.1
2006-06-24,593.7
2006-07-01,576.0
2006-07-08,572.4
2006-07-15,538.8
2006-07-22,490.6
2006-07-29,439.0
2006-08-05,432.3
2006-08-12,407.3
2006-08-19,382.1
2006-08-26,375.8
2006-09-02,430.8
2006-09-09,458.0
2006-09-16,457.6
2006-09-23,447.3
2006-10-07,446.3
2006-10-14,410.6
2006-10-21,435.1
2006-10-28,422.0
2006-11-04,414.8
2006-11-11,435.5
2006-11-18,404.0
2006-11-25,430.8
2006-12-03,423.9
2006-12-10,414.6
2006-12-16,425.1
2006-12-24,440.6
2007-01-07,452.2
2007-01-14,453.9
2007-01-21,487.2
2007-01-28,469.4
2007-02-04,465.0
2007-02-17,502.6
2007-02-25,615.3
2007-03-03,568.0
2007-03-11,588.5
2007-03-18,582.6
2007-03-25,611.1
2007-04-01,641.8
2007-04-08,648.7
2007-04-15,659.4
2007-04-22,672.1
2007-04-28,706.1
2007-05-06,677.7
2007-05-13,612.8
2007-05-20,601.2
2007-05-27,547.9
2007-06-03,518.1
2007-06-10,515.4
2007-06-17,465.5
2007-06-24,458.3
2007-07-01,472.2
2007-07-08,495.5
2007-07-15,514.8
2007-07-22,517.7
2007-07-29,503.0
2007-08-05,433.9
2007-08-12,447.1
2007-08-19,444.6
2007-08-26,436.6
2007-09-02,427.0
2007-09-09,421.5
2007-09-16,430.0
2007-09-23,456.3
2007-10-07,524.7
2007-10-14,528.5
2007-10-19,544.4
2007-10-26,624.3
2007-11-04,638.3
2007-11-11,603.6
2007-11-18,632.4
2007-11-25,624.7
2007-12-02,624.8
2007-12-09,597.8
2007-12-16,577.4
2007-12-23,524.6
2008-01-02,510.2
2008-01-06,534.5
2008-01-13,569.3
2008-01-20,543.9
