指标名称,中国:产量:动力煤:当月值,中国:产量:炼焦煤:当月值,中国:产量:原煤:当月值,中国:产量:原煤:当月同比
1986-01-31,,,6662.0,
1986-02-28,,,5307.0,
1986-03-31,,,7271.0,
1986-04-30,,,7155.0,
1986-05-31,,,7583.0,
1986-06-30,,,7655.0,
1986-07-31,,,7081.0,
1986-08-31,,,7224.0,
1986-09-30,,,7267.0,
1986-10-31,,,7425.0,
1986-11-30,,,7796.0,
1986-12-31,,,8391.0,
1987-01-31,,,6434.0,
1987-02-28,,,5905.0,
1987-03-31,,,7685.0,
1987-04-30,,,7588.0,
1987-05-31,,,7912.0,
1987-06-30,,,8123.0,
1987-07-31,,,7327.0,
1987-08-31,,,7451.0,
1987-09-30,,,7458.0,
1987-10-31,,,7494.0,
1987-11-30,,,7788.0,
1987-12-31,,,8728.0,
1988-01-31,,,7409.0,
1988-02-29,,,5685.0,
1988-03-31,,,7578.0,
1988-04-30,,,7899.0,
1988-05-31,,,8846.0,
1988-06-30,,,8868.0,
1988-07-31,,,7855.0,
1988-08-31,,,7622.0,
1988-09-30,,,7807.0,
1988-10-31,,,7934.0,
1988-11-30,,,8800.0,
1988-12-31,,,9543.0,
1989-01-31,,,7436.0,
1989-02-28,,,5847.0,
1989-03-31,,,8401.0,
1989-04-30,,,8609.0,
1989-05-31,,,8892.0,
1989-06-30,,,9331.0,
1989-07-31,,,8422.0,
1989-08-31,,,8833.0,
1989-09-30,,,8699.0,
1989-10-31,,,8455.0,
1989-11-30,,,8952.0,
1989-12-31,,,9988.0,
1990-01-31,,,7168.0,
1990-02-28,,,7040.0,
1990-03-31,,,8759.0,
1990-04-30,,,9315.0,
1990-05-31,,,9360.0,
1990-06-30,,,9637.0,
1990-07-31,,,8585.0,
1990-08-31,,,8584.0,
1990-09-30,,,8424.0,
1990-10-31,,,8772.0,
1990-11-30,,,9172.0,
1990-12-31,,,9823.0,
1991-01-31,,,8302.0,
1991-02-28,,,6412.0,
1991-03-31,,,8616.0,
1991-04-30,,,9066.0,
1991-05-31,,,9404.0,
1991-06-30,,,9542.0,
1991-07-31,,,8513.0,
1991-08-31,,,8498.0,
1991-09-30,,,8782.0,
1991-10-31,,,9277.0,
1991-11-30,,,9277.0,
1991-12-31,,,10166.0,
1992-01-31,,,8114.0,
1992-02-29,,,6089.0,
1992-03-31,,,8922.0,
1992-04-30,,,9060.0,
1992-05-31,,,9651.0,
1992-06-30,,,10072.0,
1992-07-31,,,9188.0,
1992-08-31,,,9418.0,
1992-09-30,,,9421.0,
1992-10-31,,,9237.0,
1992-11-30,,,9901.0,
1992-12-31,,,10460.0,
1993-01-31,,,6768.0,
1993-02-28,,,7549.0,
1993-03-31,,,9817.0,
