指标名称,中国:六大港口:库存:炼焦煤
2013-11-15,1345.0
2013-11-22,1368.0
2013-11-29,1358.5
2013-12-06,1386.6
2013-12-13,1327.6
2013-12-20,1338.0
2013-12-27,1322.0
2014-01-03,1275.0
2014-01-10,1251.0
2014-01-17,1256.6
2014-01-24,1248.0
2014-02-08,1243.2
2014-02-14,1225.6
2014-02-21,1226.9
2014-02-28,1185.5
2014-03-07,1180.0
2014-03-14,1141.0
2014-03-21,1122.0
2014-03-28,1115.3
2014-04-04,1081.7
2014-04-11,1076.7
2014-04-18,1074.8
2014-04-25,1081.2
2014-05-02,1066.5
2014-05-09,1015.7
2014-05-16,957.8
2014-05-23,1043.6
2014-05-30,1121.6
2014-06-06,1140.7
2014-06-13,1114.1
2014-06-20,1114.2
2014-06-27,1114.0
2014-07-04,1119.3
2014-07-11,1070.7
2014-07-18,1078.7
2014-07-25,1031.1
2014-08-01,970.2
2014-08-08,910.3
2014-08-15,903.5
2014-08-22,859.1
2014-08-29,866.3
2014-09-05,824.3
2014-09-12,802.3
2014-09-19,787.3
2014-09-26,776.5
2014-10-10,745.0
2014-10-17,714.0
2014-10-24,683.3
2014-10-31,660.5
2014-11-07,616.0
2014-11-14,617.2
2014-11-21,638.1
2014-11-28,655.9
2014-12-05,662.4
2014-12-12,646.8
2014-12-19,665.8
2014-12-26,689.8
2015-01-04,626.8
2015-01-09,702.8
2015-01-16,693.3
2015-01-23,663.3
2015-01-30,661.0
2015-02-06,660.7
2015-02-13,651.0
2015-02-28,632.1
2015-03-06,664.2
2015-03-13,638.2
2015-03-20,661.2
2015-03-27,654.4
2015-04-03,646.4
2015-04-10,656.2
2015-04-17,665.0
2015-04-24,643.7
2015-04-30,624.2
2015-05-08,591.6
2015-05-15,558.4
2015-05-22,545.5
2015-05-29,524.3
2015-06-05,515.7
2015-06-12,525.1
2015-06-19,513.8
2015-06-26,518.6
2015-07-03,541.0
2015-07-10,543.9
2015-07-17,537.2
2015-07-24,578.8
2015-07-31,558.8
2015-08-07,508.7
2015-08-14,501.0
2015-08-21,467.0
2015-08-28,470.6
2015-09-06,464.7
2015-09-11,480.8
2015-09-18,508.8
2015-09-25,524.9
2015-10-10,464.8
2015-10-16,430.1
2015-10-23,397.7
2015-10-30,407.8
2015-11-06,387.6
2015-11-13,382.9
2015-11-20,407.0
2015-11-27,354.4
2015-12-04,381.9
2015-12-11,379.2
2015-12-18,353.9
2015-12-25,326.0
2015-12-31,341.1
2016-01-08,347.3
2016-01-15,347.5
2016-01-22,335.3
2016-01-29,347.1
2016-02-15,309.8
2016-02-19,343.1
2016-02-26,319.5
2016-03-04,316.4
2016-03-11,276.1
2016-03-18,245.0
2016-03-25,229.9
2016-04-01,182.0
2016-04-08,221.5
2016-04-15,246.6
2016-04-22,297.5
2016-04-29,258.9
2016-05-06,247.2
2016-05-13,240.4
2016-05-20,223.5
2016-05-27,260.4
2016-06-03,248.2
2016-06-12,241.0
2016-06-17,208.8
2016-06-24,198.75
2016-07-01,191.0
2016-07-08,195.8
2016-07-15,116.3
2016-07-22,145.0
2016-07-29,196.6
2016-08-05,185.1
2016-08-12,197.2
2016-08-19,188.0
2016-08-26,193.85
2016-09-02,171.4
2016-09-09,139.5
2016-09-18,156.2
2016-09-23,142.5
2016-09-30,149.2
2016-10-08,162.0
2016-10-14,161.0
2016-10-21,162.3
2016-10-28,142.2
2016-11-04,148.9
2016-11-11,141.8
2016-11-18,153.1
2016-11-25,183.9
2016-12-02,184.0
2016-12-09,199.3
2016-12-16,213.5
2016-12-23,225.7
2016-12-30,216.0
2017-01-06,232.0
2017-01-13,241.6
2017-01-20,262.8
2017-02-03,240.4
2017-02-10,267.63
2017-02-17,278.1
2017-02-24,264.1
2017-03-03,242.0
2017-03-10,254.62
2017-03-17,229.8
2017-03-24,235.7
2017-03-31,300.0
2017-04-07,300.8
2017-04-14,377.33
2017-04-21,377.73
2017-04-28,363.64
2017-05-05,308.97
2017-05-12,297.12
2017-05-19,283.29
2017-05-26,268.43
2017-06-02,299.42
2017-06-09,277.98
2017-06-16,295.58
2017-06-23,286.44
2017-06-30,292.96
2017-07-07,323.38
2017-07-14,333.99
2017-07-21,297.28
2017-07-28,287.27
2017-08-04,300.5
2017-08-11,273.56
2017-08-18,250.55
2017-08-25,273.07
2017-09-01,223.3
2017-09-08,210.25
2017-09-15,174.6
2017-09-22,176.7
2017-09-29,174.8
2017-10-10,168.66
2017-10-13,188.66
2017-10-20,199.64
2017-10-27,194.3
2017-11-03,205.3
2017-11-10,218.5
2017-11-17,217.6
2017-11-24,241.8
2017-12-01,239.3
2017-12-08,210.6
2017-12-15,202.84
2017-12-22,187.0
2017-12-29,206.9
2018-01-05,208.1
2018-01-12,225.6
2018-01-19,179.2
2018-01-26,194.1
2018-02-02,185.3
2018-02-09,186.6
2018-02-23,165.29
2018-03-02,141.4
2018-03-09,208.5
2018-03-16,204.7
2018-03-23,198.1
2018-03-30,183.3
2018-04-06,216.2
2018-04-13,238.5
2018-04-20,224.4
2018-04-27,230.07
2018-05-04,258.7
2018-05-11,235.4
2018-05-18,241.8
2018-05-25,243.1
2018-06-01,237.3
2018-06-08,232.5
2018-06-15,243.8
2018-06-22,282.2
2018-06-29,299.1
2018-07-06,349.2
2018-07-13,360.6
2018-07-20,386.55
2018-07-27,421.18
2018-08-03,423.64
2018-08-10,412.46
2018-08-17,393.32
2018-08-24,375.7
2018-08-31,358.7
2018-09-07,367.96
2018-09-14,358.34
2018-09-21,357.75
2018-09-28,349.58
2018-10-05,337.18
2018-10-12,326.17
2018-10-19,345.03
2018-10-26,312.26
2018-11-02,285.7
2018-11-09,270.91
2018-11-16,312.81
2018-11-23,307.41
2018-11-30,296.88
2018-12-07,292.83
2018-12-14,274.44
2018-12-21,269.94
2018-12-28,258.26
2019-01-04,277.0
2019-01-11,279.06
2019-01-18,284.2
2019-01-25,281.1
2019-02-01,305.07
2019-02-12,310.08
2019-02-15,284.07
2019-02-22,302.08
2019-03-01,287.1
2019-03-08,307.1
2019-03-15,302.0
2019-03-22,320.0
2019-03-29,357.0
2019-04-05,373.0
2019-04-12,407.0
2019-04-19,397.0
2019-04-26,395.0
2019-05-05,381.5
2019-05-10,401.0
2019-05-17,429.0
2019-05-24,464.0
2019-05-31,499.0
2019-06-07,555.0
2019-06-14,556.0
2019-06-21,581.0
2019-06-28,560.7
2019-07-05,586.8
2019-07-12,550.0
2019-07-19,574.0
2019-07-26,596.1
2019-08-02,675.0
2019-08-09,695.0
2019-08-16,699.0
2019-08-23,724.0
2019-08-30,732.2
2019-09-06,702.0
2019-09-12,685.0
2019-09-20,679.0
2019-09-27,688.2
2019-10-09,754.0
2019-10-11,755.0
2019-10-18,753.5
2019-10-25,764.0
2019-11-01,758.0
2019-11-08,726.0
2019-11-15,724.0
2019-11-22,703.0
2019-11-29,665.0
2019-12-06,694.0
2019-12-13,672.0
2019-12-20,645.8
2019-12-27,634.0
2020-01-03,599.0
2020-01-10,575.0
2020-01-17,531.0
2020-01-23,533.0
2020-02-03,563.0
2020-02-07,564.0
2020-02-14,564.0
2020-02-21,587.0
2020-02-28,607.0
2020-03-06,633.0
2020-03-13,629.0
2020-03-20,630.0
2020-03-27,615.0
2020-04-03,573.0
2020-04-10,550.0
2020-04-17,571.0
2020-04-24,559.0
2020-04-30,518.0
2020-05-08,491.0
2020-05-15,522.0
2020-05-22,471.0
2020-05-29,503.0
2020-06-05,485.0
2020-06-12,524.0
2020-06-19,533.0
2020-06-24,499.5
2020-07-03,550.0
2020-07-10,542.0
2020-07-17,531.0
2020-07-24,508.0
2020-07-31,547.0
2020-08-07,544.0
2020-08-14,493.0
2020-08-21,480.0
2020-08-28,426.2
2020-09-04,418.0
2020-09-11,378.8
2020-09-18,388.0
2020-09-25,390.0
2020-09-30,375.0
2020-10-10,350.0
2020-10-16,343.0
2020-10-23,336.0
2020-10-30,339.0
2020-11-06,333.5
2020-11-13,326.9
2020-11-20,322.0
2020-11-27,341.0
2020-12-04,331.0
2020-12-11,305.0
2020-12-18,269.0
2020-12-25,295.0
2020-12-31,285.0
2021-01-08,273.8
2021-01-15,260.0
2021-01-22,277.5
2021-01-29,254.0
2021-02-05,243.0
2021-02-19,254.0
2021-02-26,248.7
2021-03-05,246.7
2021-03-12,252.7
2021-03-19,270.3
2021-03-26,267.0
2021-04-02,319.6
2021-04-09,366.5
2021-04-16,366.5
2021-04-23,390.0
2021-04-30,357.2
2021-05-07,430.8
2021-05-14,431.9
2021-05-21,457.9
2021-05-28,505.0
2021-06-04,492.8
2021-06-11,485.8
2021-06-18,507.2
2021-06-25,508.0
2021-07-02,486.0
2021-07-09,491.0
2021-07-16,472.0
2021-07-23,452.0
2021-07-30,440.0
2021-08-06,413.5
2021-08-13,405.5
2021-08-20,421.0
2021-08-27,416.0
2021-09-03,414.0
2021-09-10,421.0
2021-09-17,435.0
2021-09-24,436.0
2021-10-01,420.0
2021-10-08,404.9
2021-10-15,398.2
2021-10-22,403.0
2021-10-29,393.0
2021-11-05,394.0
2021-11-12,417.0
2021-11-19,422.0
2021-11-26,369.0
2021-12-03,387.0
2021-12-10,444.0
2021-12-17,431.0
2021-12-24,455.0
2021-12-31,410.0
2022-01-07,445.0
2022-01-14,448.0
2022-01-21,459.0
2022-01-28,398.0
2022-02-04,389.0
2022-02-11,362.0
2022-02-18,336.0
2022-02-25,328.0
2022-03-04,287.0
2022-03-11,261.0
2022-03-18,235.0
2022-03-25,207.0
2022-04-01,195.0
2022-04-08,203.0
2022-04-15,206.0
2022-04-22,166.0
2022-04-29,157.0
2022-05-06,175.0
2022-05-13,170.0
2022-05-20,164.0
2022-05-27,139.0
2022-06-03,147.0
2022-06-10,167.0
2022-06-17,178.8
2022-06-24,191.4
2022-07-01,194.7
2022-07-08,207.3
2022-07-15,210.2
2022-07-22,222.4
2022-07-29,213.9
2022-08-05,233.0
2022-08-12,236.0
2022-08-19,236.0
2022-08-26,243.0
2022-09-02,217.3
2022-09-09,215.2
2022-09-16,214.7
2022-09-23,204.2
2022-09-30,192.3
2022-10-08,187.1
2022-10-14,154.7
2022-10-21,129.0
2022-10-28,112.9
