指标名称,中国:产量:太阳能:当月值,中国:产量:核电:当月值,中国:产量:风电:当月值,中国:产量:水电:当月值,中国:产量:火电:当月值,中国:产量:发电量:当月值
1986-01-31,,,,56.6,,
1986-02-28,,,,44.9,,
1986-03-31,,,,56.4,,
1986-04-30,,,,68.1,,
1986-05-31,,,,86.0,,
1986-06-30,,,,98.1,,
1986-07-31,,,,109.7,,
1986-08-31,,,,106.3,,
1986-09-30,,,,92.3,,
1986-10-31,,,,78.7,,
1986-11-30,,,,69.9,,
1986-12-31,,,,59.6,,
1987-01-31,,,,53.0,,
1987-02-28,,,,44.1,,
1987-03-31,,,,53.2,,
1987-04-30,,,,70.6,,
1987-05-31,,,,90.1,,
1987-06-30,,,,99.9,,
1987-07-31,,,,107.5,,
1987-08-31,,,,113.8,,
1987-09-30,,,,102.5,,
1987-10-31,,,,93.7,,
1987-11-30,,,,87.9,,
1987-12-31,,,,70.8,,
1988-01-31,,,,68.1,,
1988-02-29,,,,57.5,,
1988-03-31,,,,72.6,,
1988-04-30,,,,83.2,,
1988-05-31,,,,100.7,,
1988-06-30,,,,110.8,,
1988-07-31,,,,120.5,,
1988-08-31,,,,110.4,,
1988-09-30,,,,113.6,,
1988-10-31,,,,98.5,,
1988-11-30,,,,79.4,,
1988-12-31,,,,65.7,,
1989-01-31,,,,68.1,,
1989-02-28,,,,65.3,352.0,417.6
1989-03-31,,,,74.4,399.2,473.6
1989-04-30,,,,95.1,375.4,470.6
1989-05-31,,,,117.8,378.6,496.5
1989-06-30,,,,126.1,370.2,496.3
1989-07-31,,,,125.2,371.8,497.0
1989-08-31,,,,119.3,385.1,204.4
1989-09-30,,,,112.0,370.0,482.1
1989-10-31,,,,101.7,392.6,494.3
1989-11-30,,,,88.7,409.1,497.8
1989-12-31,,,,77.1,443.3,520.6
1990-01-31,,,,65.0,413.6,479.0
1990-02-28,,,,72.9,384.2,457.1
1990-03-31,,,,88.2,419.0,507.2
1990-04-30,,,,100.5,395.0,495.6
1990-05-31,,,,123.9,395.3,519.2
