指标名称,中国:全社会用电量:第一产业:当月值,中国:全社会用电量:第三产业:当月值,中国:全社会用电量:第二产业:当月值,中国:全社会用电量:当月值,中国:发电新增设备容量:太阳能:累计值,中国:规模以上工业增加值:电力、热力的生产和供应业:当月同比,中国:用电量:电力、燃气及水的生产和供应业:当月值,中国:产成品存货:电力、热力生产和供应业,中国:产成品存货:电力、热力生产和供应业:同比,中国:存货:电力、热力生产和供应业:同比,中国:消费量:动力煤:电力行业:当月值
1999-02-28,,,,,,,,209671.9,5.45,,
1999-03-31,,,,,,,,178134.1,24.67,,
1999-04-30,,,,,,,,221064.0,32.0,,
1999-05-31,,,,,,,,192878.6,20.14,,
1999-06-30,,,,,,,,181983.6,2.04,,
1999-07-31,,,,,,,,209924.7,17.59,,
1999-08-31,,,,,,,,220601.9,21.9,,
1999-09-30,,,,,,,,234901.5,23.39,,
1999-10-31,,,,,,,,235016.4,6.0,,
1999-11-30,,,,,,,,294985.5,52.05,,
1999-12-31,,,,,,,,228063.3,26.14,,
2000-02-29,,,,,,,,210835.3,7.13,,
2000-03-31,,,,,,,,183178.5,-2.89,,
2000-04-30,,,,,,,,150341.8,-5.0,,
2000-05-31,,,,,,,,157314.1,-14.51,,
2000-06-30,,,,,,,,179684.6,-4.89,,
2000-07-31,,,,,,,,188439.5,5.77,,
2000-08-31,,,,,,,,777622.1,7.01,,
2000-09-30,,,,,,,,214212.5,-4.4,,
2000-10-31,,,,,,,,215464.2,-1.87,,
2000-11-30,,,,,,,,207659.2,-8.36,,
2000-12-31,,,,,,,,213855.1,-10.29,,
2001-02-28,,,,,,,,164728.4,-5.35,,
2001-03-31,,,,,,,,166559.1,2.69,,
2001-04-30,,,,,,,,163756.0,3.6,,
2001-05-31,,,,,,,,207577.9,30.77,,
2001-06-30,,,,,,,,212254.5,36.09,,
2001-07-31,,,,,,,,191916.1,7.76,,
2001-08-31,,,,,,,,187365.8,9.08,,
2001-09-30,,,,,,,,227412.4,14.85,,
2001-10-31,,,,,,,,303845.9,42.3,,
2001-11-30,,,,,,,,265055.3,23.8,,
2001-12-31,,,,,,,,198555.9,2.63,,
2002-02-28,,,,,,,,186060.2,20.12,,
2002-03-31,,,,,,,,270000.5,3.23,,
2002-04-30,,,,,,,,310784.2,-4.23,,
2002-05-31,,,,,,,,236446.9,4.85,,
2002-06-30,,,,,,,,437109.0,77.95,,
2002-07-31,,,,,,,,369686.1,61.58,,
2002-08-31,,,,,,,,412417.4,80.79,,
2002-09-30,,,,,,,,209035.2,-17.4,,
2002-10-31,,,,,,,,212009.2,-30.13,,
2002-11-30,,,,,,,,213550.8,-19.95,,
2002-12-31,,,,,,,,226545.9,6.99,,
2003-02-28,,,,,,,,228429.1,5.15,,
2003-03-31,,,,,,,,274364.9,4.98,,
2003-04-30,,,,,,,,306822.4,3.43,,
2003-05-31,,,,,,,,291825.8,2.63,,
2003-06-30,,,,,,,,283120.6,15.46,,
2003-07-31,,,,,,,,284855.5,14.68,,
2003-08-31,,,,,,,,382672.0,32.14,,
2003-09-30,,,,,,,,316366.3,37.96,,
2003-10-31,,,,,,,,300771.0,30.2,,
2003-11-30,,,,,,,,309380.5,19.25,,
2003-12-31,,,,,,,,480173.5,28.14,,
2004-02-29,,,,,,,,354412.8,9.64,,
2004-03-31,,,,,,,,384985.6,32.58,,
2004-04-30,,,,,,,,312385.4,13.64,,
2004-05-31,,,,,,,,374682.7,21.14,,
2004-06-30,,,,,,,,377765.3,10.14,,
2004-07-31,,,,,,,,359167.1,16.87,,
2004-08-31,,,,,,,,352155.3,14.75,,
2004-09-30,,,,,,,,377490.4,-5.69,,
2004-10-31,,,,,,,,412413.6,-1.0,,
2004-11-30,,,,,,,,384180.1,-7.95,,
2004-12-31,,,,,,,,403969.4,4.2,,
2005-02-28,,,,,,,,293021.3,18.98,,
2005-03-31,,,,,,,,364604.6,6.57,,
2005-04-30,,,,,,,,360645.3,-8.19,,
2005-05-31,,,,,,,,453640.6,13.59,,
2005-06-30,,,,,,,,416350.8,21.71,,
2005-07-31,,,,,,,,389586.2,20.94,,
2005-08-31,,,,,,,,347710.8,7.55,,
2005-09-30,,,,,,,,377367.5,13.16,,
2005-10-31,,,,,,,,366507.2,1.38,,
2005-11-30,,,,,,,,376582.8,7.23,,
2005-12-31,,,,,,,,364992.5,13.36,,
2006-02-28,,,,,,15.1,,276747.1,-1.34,,
2006-03-31,523310.0,1905181.0,1.5611184E7,2.0276079E7,,13.6,3957949.0,347199.3,-12.61,,
2006-04-30,679689.0,1979742.0,1.7175989E7,2.21672E7,,11.9,3957949.0,429166.6,11.49,,
2006-05-31,773016.0,1997838.0,1.7561464E7,2.26593E7,,11.1,3957949.0,448432.6,5.65,,
2006-06-30,886543.0,2248529.0,1.8270523E7,2.3787097E7,,13.2,3957949.0,438980.2,18.02,,
2006-07-31,780679.0,2627568.0,1.9659932E7,2.6006298E7,,11.6,4405540.0,357774.8,0.43,,
2006-08-31,950289.0,2794818.0,1.9655806E7,2.6751479E7,,14.5,4816084.0,372833.3,4.64,,
2006-09-30,733508.0,2733737.0,1.6877434E7,2.3709725E7,,13.3,2444442.0,367235.3,-4.79,,
2006-10-31,635725.0,2426368.0,1.8521349E7,2.4252579E7,,13.9,3390865.0,378147.0,1.04,,
2006-11-30,585126.0,2118941.0,1.9302544E7,2.4442531E7,,13.1,4338030.0,417186.5,3.52,,
2006-12-31,,,,2.62051E7,,15.4,,380173.3,9.86,,
2007-02-28,,,,,,10.3,,360119.9,20.0,,
2007-03-31,518503.0,2346389.0,1.9409935E7,2.5118529E7,,10.8,4491386.0,,,,
2007-04-30,719537.0,2371578.0,1.9924109E7,2.5775431E7,,15.1,4239938.0,,,,
2007-05-31,804254.0,2311797.0,2.0831121E7,2.6560033E7,,15.9,3836224.0,558172.2,50.34,,
2007-06-30,895046.0,2491136.0,2.1182546E7,2.7268656E7,,15.6,4243968.0,,,,
2007-07-31,934125.0,3041998.0,2.2956769E7,3.0178283E7,,13.1,5163061.0,,,,
2007-08-31,973666.0,3144747.0,2.2368681E7,3.0144521E7,,13.9,4815413.0,615511.4,53.93,,
2007-09-30,762334.0,2973555.0,2.0431852E7,2.771058E7,,18.0,3499251.0,,,,
2007-10-31,647745.0,2730926.0,2.1251718E7,2.7738991E7,,13.1,4200795.0,,,,
