指标名称,光伏行业综合价格指数(SPI),光伏行业综合价格指数(SPI):多晶硅,光伏行业综合价格指数(SPI):硅片,光伏经理人指数(SMI):全行业
2010/3/18,,,,97.32
2014/1/3,,,,126.08
2014/1/10,,,,125.98
2014/1/17,,,,128.14
2014/1/24,,,,125.3
2014/1/30,,,,126.47
2014/1/31,,,,127.7
2014/2/7,,,,127.14
2014/2/14,,,,127.42
2014/2/21,,,,129.84
2014/2/28,,,,131.87
2014/3/7,,,,137.25
2014/3/14,,,,138.09
2014/3/21,,,,143.53
2014/3/28,,,,134.25
2014/4/4,101.25,100.19,101.53,135.15
2014/4/11,101.14,100,101.53,129.24
2014/4/18,100.93,100,101.53,133.12
2014/4/25,100.89,100,101.53,137.96
2014/4/30,,,,132.63
2014/5/2,,,,132.27
2014/5/9,100.67,100,101.03,133.84
2014/5/16,100.6,100,101.03,131.1
2014/5/23,100.58,100,101.03,133.14
2014/5/30,100,100,100,132.79
2014/6/6,100,100,100,129.55
2014/6/13,100,100,100,134.22
2014/6/20,99.6,100,100,135.47
2014/6/27,99.57,100,100,138.06
2014/7/4,97.86,99.87,98.63,139.9
2014/7/11,97.27,99.87,97.43,138.41
2014/7/18,96.73,99.87,96.97,136.4
2014/7/25,96.64,99.87,96.9,134.24
2014/8/1,96.02,99.87,96.26,125.85
2014/8/8,95.96,99.61,96.08,133.37
2014/8/15,95.74,99.05,95.91,137.03
2014/8/22,95.46,98.69,95.65,138.34
2014/8/29,95.45,98.63,95.62,137.61
2014/9/5,95.6,100.22,96.85,142.28
2014/9/12,95.9,100.61,96.85,144.22
2014/9/19,95.95,100.61,96.85,141.16
2014/9/26,96.05,101.11,96.85,139.24
2014/9/30,,,,138.86
2014/10/3,,,,139.58
2014/10/10,96.05,101.11,96.85,134.92
2014/10/17,96.09,101.11,96.85,134.26
2014/10/24,96.07,100.91,96.85,136.54
2014/10/31,96.07,100.59,96.45,137.11
2014/11/7,96.03,100.49,95.61,136.59
2014/11/14,96.06,100.49,95.61,133.47
2014/11/21,96.03,100.49,95.61,136.7
2014/11/28,96,99.41,95.49,128.36
2014/12/5,95.94,97.88,95.49,122.1
2014/12/12,95.93,96.96,95.49,118.13
2014/12/19,95.93,96.96,95.49,111.69
2014/12/26,95.93,96.76,95.49,111.49
2014/12/31,,,,110.56
2015/1/2,,,,112.29
2015/1/9,95.59,93.81,94.63,111.41
2015/1/16,95.29,93.39,94.34,111.64
2015/1/23,95.26,93.39,94.2,110.58
2015/1/30,95.19,92.8,94.2,111.04
2015/2/6,95.11,92.8,94.2,107.92
2015/2/13,95.06,92.01,94.2,106.45
2015/2/17,,,,105.63
2015/2/20,,,,107.54
2015/2/27,95.06,91.88,94.2,105.47
2015/3/6,95.03,90.7,94.2,115.45
2015/3/13,94.41,89.85,93.76,113.44
2015/3/20,94.2,88.21,93.76,119.29
2015/3/27,94.13,88.08,92.19,122.01
2015/4/3,94.09,87.28,91.93,121.54
2015/4/10,93.93,84.18,91.81,122.45
2015/4/17,93.92,84.18,91.81,122.08
2015/4/24,93.83,82.65,91.81,117.59
2015/4/30,,,,115.21
2015/5/1,,,,115.43
2015/5/8,93.77,81.07,91.2,113.31
2015/5/15,93.59,79.29,90.85,114.67
2015/5/22,93.59,79.09,90.71,112.12
2015/5/29,93.61,79.09,90.71,112.62
2015/6/5,93.61,78.67,90.68,109.26
2015/6/12,93.6,78.27,90.67,107.51
2015/6/19,93.6,78.27,90.67,110.48
2015/6/26,93.6,78.54,90.67,108.26
2015/7/3,93.83,78.57,90.74,101.57
2015/7/10,93.84,78.71,90.74,95.76
2015/7/17,93.81,78.71,90.26,99.24
2015/7/24,93.81,78.71,89.45,98.54
2015/7/31,93.81,78.71,89.45,96.91
2015/8/7,93.81,78.71,87.79,96.35
2015/8/14,93.65,78.71,87.79,99.76
2015/8/21,93.66,78.64,87.79,96.42
2015/8/28,93.66,77.36,87.79,95.5
2015/9/2,,,,91.2
2015/9/4,,,,92.01
2015/9/11,93.79,76.85,87.79,93.6
2015/9/18,93.79,76.85,87.79,91.57
2015/9/25,93.79,76.52,87.97,93.79
2015/9/30,,,,94.7
2015/10/2,93.79,76.52,87.97,95.46
2015/10/9,93.79,76.52,87.97,96.32
2015/10/16,93.77,75.69,87.97,100.67
2015/10/23,93.77,75.69,87.97,99.5
2015/10/30,93.77,75.69,87.97,99.22
2015/11/6,93.85,75.69,88.21,96.91
2015/11/13,92.86,74.47,88.8,98.81
2015/11/20,92.9291,73.53,88.8,100.56
2015/11/27,92.7874,70.61,86.87,101.16
2015/12/4,92.89,70.61,87.48,101.23
2015/12/11,93.0593,70.61,87.48,99.19
2015/12/18,93.3723,70.61,87.48,101.24
2015/12/25,93.3862,69.62,88.2,101.38
2015/12/31,,,,100
2016/1/1,,,,100
2016/1/8,93.5397,69.62,88.2,101.48
2016/1/15,93.5665,68.11,88.2,96.03
2016/1/22,93.5144,69.81,88.2,97.01
2016/1/29,93.3944,70.11,88.2,95.8
2016/2/5,,,,96.94
2016/2/12,,,,94.61
2016/2/15,,,,94.17
2016/2/19,93.26,71.39,88.2,97.91
2016/2/26,92.8,72.7,90.44,99.1
2016/3/4,91.6,73.03,90.44,97.99
2016/3/11,90.6908,74.22,90.44,97.47
2016/3/18,90.2254,75,90.97,98.46
2016/3/25,90.2479,75.65,91.2,97.83
2016/4/1,90.1096,77.57,90.86,96.73
2016/4/8,90.2,78.5,90.69,96.5
2016/4/15,87.39,81.04,90.69,96.15
2016/4/22,88.71,85.21,90.67,96.08
2016/4/29,89.14,86.87,90.67,96.71
2016/5/6,89.09,88.07,90.53,96.7
2016/5/13,88.93,88.1,90.53,95.97
2016/5/20,88.93,88.1,90.53,95
2016/5/27,88.88,88.1,90.44,94.48
2016/6/3,87.88,87.78,89.52,94.78
2016/6/8,87.88,87.78,89.52,
2016/6/10,,,,95.69
2016/6/13,,,,95.69
2016/6/17,87.02,87.35,89.22,98.32
2016/6/24,85.33,86.82,88.36,99.07
2016/7/1,84.23,86.82,86.46,99.1
2016/7/8,82.88,86.82,86.23,99.37
2016/7/15,81.31,86.82,82.58,96.03
2016/7/22,80.38,86.2,82.23,97.61
2016/7/29,79.2,86.2,81.03,95.58
2016/8/5,77.88,85.58,79.18,96.76
2016/8/12,76.99,84.52,77.85,95.57
2016/8/19,75.01,82.97,74.76,96.3
2016/8/26,73.51,82.66,71.07,95.64
2016/9/2,69.78,75.85,65.17,94.64
2016/9/9,66.33,67.49,62.3,95.26
2016/9/18,62.06,60.99,60.68,
2016/9/19,,,,94.68
2016/9/23,59.55,54.18,59.35,94.04
2016/9/30,59.97,55.73,59.35,91.96
2016/10/9,62.24,59.44,61.22,
2016/10/14,66.22,66.25,65.38,93.04
2016/10/21,69.04,70.28,67.17,93.87
2016/10/28,72.86,76.47,73,93.17
2016/11/4,75.13,80.5,75.22,92.35
2016/11/11,76.06,82.04,76.29,91.88
2016/11/18,76.41,82.35,77.27,91.75
2016/11/25,75.47,82.97,75.77,90.72
2016/12/2,75.15,84.52,74.73,91.16
2016/12/9,74.74,84.52,74.79,92.56
2016/12/16,74.55,85.45,74.85,93.33
2016/12/23,74.71,87,74.91,92.7
2016/12/30,74.66,87.62,74.91,93.37
2017/1/6,74.54,87.62,75.11,90.99
2017/1/13,74.54,87.93,75.45,90.24
2017/1/20,74.6,88.24,75.45,89.6
2017/1/26,,,,90.26
2017/2/3,,,,90.22
2017/2/6,75.21,88.54,76.31,
2017/2/10,75.65,89.01,76.61,89.66
2017/2/17,75.71,89.32,76.61,90.62
2017/2/24,75.55,89.32,76.61,90.93
2017/3/3,74.5,88.54,75.34,90.73
2017/3/10,73.65,87.93,75.06,91.46
2017/3/17,72.66,87,72.91,93.43
2017/3/24,71.19,82.97,71.53,91.83
2017/3/31,69.64,80.5,69.68,91.38
2017/4/7,68.25,75.85,68.82,90.87
2017/4/14,67.86,75.23,67.83,89.62
2017/4/21,67.74,75.85,68.06,89.41
2017/4/28,69.51,77.4,69.22,87.6
2017/5/5,69.86,78.33,69.22,87.25
2017/5/12,70.19,78.33,69.45,83.68
2017/5/19,70.71,78.33,71.53,84.2
2017/5/26,72.57,80.19,72.22,82.71
2017/6/2,72.77,80.19,72.91,81.89
2017/6/9,73.04,80.19,73.31,81.9
2017/6/16,72.89,79.57,73.26,81.96
2017/6/23,72.89,79.57,73.26,83.17
2017/6/30,73.22,79.57,73.95,83.54
2017/7/7,73.17,79.88,74.04,84.09
2017/7/14,72.95,79.88,74.04,82.28
2017/7/21,72.51,78.33,73.69,85.16
2017/7/28,73.01,79.92,74.27,85.62034
2017/8/4,73.97,82.97,74.85,85.151133
2017/8/11,73.13,77.74,75.77,83.995045
2017/8/18,73.49,79.29,75.77,83.67
2017/8/25,74.04,80.84,76.7,83.108624
2017/9/1,74.73,86.62,77.36,82.479394
2017/9/8,74.75,86.69,77.36,83.504327
2017/9/15,75.44,89.78,77.36,88.541728
2017/9/22,74.32,91.33,76.28,90.856745
2017/9/26,75.3,91.33,76.28,
2017/9/29,75.28,91.33,76.2,90.389905
2017/10/10,75.37,91.02,76.2,
2017/10/13,75.38,91.33,76.2,91.626283
2017/10/18,75.51,91.95,76.2,
2017/10/20,75.47,91.95,76.03,89.108576
2017/10/24,74.89,92.8,73.79,
2017/10/27,74.63,92.88,73.79,90.773817
2017/10/31,74.62,92.83,73.79,
2017/11/2,74.6,92.77,73.79,
2017/11/3,,,,91.930808
2017/11/7,74.04,92.88,73.79,
2017/11/10,73.96,92.88,73.79,95.954216
2017/11/13,,,,95.954216
2017/11/14,74.35,92.88,73.79,
2017/11/17,74.35,92.88,73.79,95.687293
2017/11/21,74.35,92.88,73.79,
2017/11/24,74.33,92.74,73.79,95.406592
2017/11/29,74.08,92.88,73.79,
2017/12/1,74.02,92.85,73.79,93.985249
2017/12/5,74.04,92.91,73.79,
2017/12/8,73.9,92.89,73.79,92.427622
2017/12/12,73.89,92.87,73.79,
2017/12/15,73.73,92.88,73.13,93.310886
2017/12/19,73.68,92.88,73.13,
2017/12/22,73.14,92.88,72.91,96.436913
2017/12/26,71.54,92.88,68.09,
2017/12/29,71.02,92.88,68.09,94.82565
2018/1/2,70.7,92.98,68.04,
2018/1/5,70.3,92.88,67.54,93.469443
2018/1/9,70.17,92.88,67.54,
2018/1/12,70.02,92.88,67.46,91.65814
2018/1/16,69.38,92.88,67.32,
2018/1/19,68.91,92.88,67.08,89.362016
2018/1/23,68.17,92.88,65.47,
2018/1/26,66.85,92.68,63.54,87.061482
2018/1/30,66.28,92.88,62.05,
2018/2/1,65.74,92.31,61.31,
2018/2/2,,,,85.794244
2018/2/6,64.63,92.26,59.21,
2018/2/9,64.47,91.33,59.21,84.667719
2018/2/16,,,,85.006969
2018/2/23,,,,84.501744
2018/2/24,63.18,88.23,57.14,
2018/2/27,62.78,86.65,57.14,
2018/3/2,61.73,82.14,56.73,85.4619
2018/3/6,61.6,82.04,56.32,
2018/3/9,61.49,82.03,55.9,84.31233
2018/3/13,61.46,82.04,55.79,
2018/3/16,60.9,80.5,55.63,84.894202
2018/3/20,61.21,82.04,55.71,
2018/3/23,61.21,82.04,55.68,84.331452
2018/3/27,61.36,82.04,55.68,
2018/3/30,61.49,82.04,55.68,84.377565
2018/4/3,61.48,82.04,55.66,
2018/4/6,,,,85.204983
2018/4/8,61.48,82.04,55.66,
2018/4/10,61.6,82.66,55.66,
2018/4/13,61.54,82.66,55.43,85.420703
2018/4/17,61.54,82.66,55.43,
2018/4/20,61.49,82.66,55.28,87.439317
2018/4/24,61.51,82.66,55.35,
2018/4/27,61.51,83.28,54.52,86.51779
2018/5/4,61.17,83.59,53.61,85.902699
2018/5/8,60.84,83.59,52.45,
2018/5/11,60.84,83.59,52.45,85.827341
2018/5/15,60.72,83.59,52.04,
2018/5/18,60.27,83.59,51.46,84.876721
2018/5/22,60.13,83.59,51.46,
2018/5/25,59.39,83.59,49.53,84.114208
2018/6/1,58.59,80.5,48.7,81.705603
2018/6/8,54.73,75.85,45.12,72.82069
2018/6/12,53.83,73.98,44.4,
2018/6/15,50.34,68,40.43,73.053175
2018/6/22,49.41,64.82,40.21,74.982244
2018/6/29,47.66,63.5,38.23,74.237875
2018/7/6,46.63,62.63,38.31,
2018/7/13,46.83,62.58,38.64,71.32
2018/7/20,46.79,62.58,38.73,72.346217
2018/7/27,46.44,62.58,38.03,73.377037
2018/8/3,45.66,62.85,38.44,73.974483
2018/8/10,45.39,62.85,38.44,72.540291
2018/8/17,45.09,62.85,38.44,71.934194
2018/8/24,44.66,62.85,38.44,71.328097
2018/8/31,44.12,62.85,37.37,72.62
2018/9/7,43.56,61.61,36.96,73.39
2018/9/14,43.3,61.3,36.87,73.31
2018/9/21,42.8,59.44,36.71,73.23
2018/9/28,42.25,58.2,36.21,73.23
2018/10/12,41.62,56.66,35.66,73.22
2018/10/19,41.4,55.73,35.61,74.36
2018/10/26,40.96,54.8,34.75,75.03
2018/11/2,40.79,53.87,34.72,75.48
2018/11/9,40.73,53.56,34.72,79.19
2018/11/16,40.58,53.25,34.38,79.22
2018/11/23,40.59,53.25,34.34,79.82
2018/11/30,40.39,52.01,34.34,80.62
2018/12/7,40.29,51.39,34.34,83.36
2018/12/14,40.17,50.77,34.34,83.66
2018/12/21,40.17,50.77,34.34,85.05
2018/12/28,40.21,50.77,34.34,85.08
2019/1/4,39.96,49.54,34.34,84.88
2019/1/11,39.96,49.54,34.34,86.873092
2019/1/18,39.94,49.54,34.34,87.82
2019/1/25,40.05,49.54,34.67,89.67
2019/2/1,40.22,49.54,35.02,91.872535
2019/2/15,40.4,50.15,35.21,90.725032
2019/2/22,40.64,50.15,35.43,92.01
2019/3/1,40.6,50.15,35.43,87.41
2019/3/8,40.6,50.15,35.43,83.72
2019/3/15,40.35,50.15,35.15,85.62
2019/3/22,40.31,50.15,35.02,83.07
2019/3/29,35.69,48.3,33.61,81.872297
2019/4/4,35.54,47.99,33.33,82.22
2019/4/12,35.38,47.37,33.16,83.17
2019/4/19,35.38,47.37,33.16,83.48
2019/4/26,35.5,47.68,33.16,83.65
2019/5/10,35.52,47.68,33.16,84.61
2019/5/17,35.48,47.68,33.03,86.09
2019/5/24,35.48,47.68,33.03,86.16
2019/5/31,35.65,47.68,33.03,87.246116
2019/6/6,35.66,47.68,33.03,83.618682
2019/6/14,35.66,47.68,33.03,83.13
2019/6/21,35.66,47.68,33.03,84.52
2019/6/28,36.02,47.99,32.96,79.733935
2019/7/5,35.78,47.99,32.8,81.340631
2019/7/12,35.66,47.99,32.78,81.69
2019/7/19,35.59,47.99,32.78,82.66
2019/7/26,34.96,47.99,32.61,83.220187
2019/8/2,34.77,47.99,32.38,82.615838
2019/8/9,34.69,47.68,32.3,82.838933
2019/8/16,34.63,47.68,32.3,80.585557
2019/8/23,34.63,47.68,32.3,83.463171
2019/8/30,34.51,47.68,32.3,80.012582
2019/9/6,34.49,47.68,32.37,81.267322
2019/9/12,34.44,47.68,32.38,82.364732
2019/9/20,34.42,47.68,32.4,82.710116
2019/9/27,34.49,47.68,32.78,82.354503
2019/10/11,34.44,47.68,32.74,80.382394
2019/10/18,34.15,47.68,32.74,77.445971
2019/10/25,33.82,47.68,32.57,76.943021
2019/11/1,33.38,47.68,32.17,75.973379
2019/11/8,32.62,47.68,32.02,75.470829
2019/11/15,32.27,47.37,31.89,74.374445
2019/11/22,32.2,47.06,31.87,74.902281
2019/11/29,31.65,45.2,31.34,74.917158
2019/12/6,31.38,44.58,30.88,75.322908
2019/12/13,30.92,44.27,30.59,75.61348
2019/12/20,30.86,44.27,30.34,75.621948
2019/12/27,30.56,44.27,30.06,76.34693
2020/1/3,30.53,44.27,30.04,76.714323
2020/1/10,30.17,44.27,29.37,76.769458
2020/1/17,30.11,44.27,29.37,77.585457
2020/2/7,30.11,44.27,29.37,77.341643
2020/2/14,30.19,44.27,29.71,79.523868
2020/2/21,30.29,44.27,29.91,85.402225
2020/2/28,30.31,44.27,29.91,83.371104
2020/3/6,30.3,44.27,29.91,79.523868
2020/3/13,29.98,44.27,29.36,84.187946
2020/3/20,29.92,44.27,29.27,77.810697
2020/3/27,29.54,44.27,28.78,74.095891
2020/4/3,29.12,43.96,28.34,71.042555
2020/4/10,28.79,43.34,28.6,69.317731
2020/4/17,27.87,41.8,27.55,73.253316
2020/4/24,26.91,39.63,25.86,68.107969
2020/5/8,26.65,39.32,25.5,73.982476
2020/5/15,25.8,38.08,24.32,62.768287
2020/5/22,25.59,37.15,24.32,61.770763
2020/5/29,25.11,37.15,23.27,72.248578
2020/6/5,25.03,37.15,23.11,74.707341
2020/6/12,24.95,37.46,23.11,72.694948
2020/6/19,24.81,37.46,23.11,74.070343
2020/6/24,24.77,37.46,23.11,76.433451
2020/7/2,24.76,37.77,23.11,
2020/7/3,,,,81.197298
2020/7/10,24.78,38.08,23.11,80.33206
2020/7/17,24.73,38.08,23.11,81.923734
2020/7/24,25.54,42.41,23.52,86.496893
2020/7/31,28.41,52.01,26.2,88.892478
2020/8/7,29.89,55.11,28.9,90.20137
2020/8/14,31.32,56.66,30.36,92.122082
2020/8/21,31.77,60.06,30.36,90.608269
2020/8/28,32.44,62.54,31.25,94.228243
2020/9/4,32.52,63.47,31.25,94.561346
2020/9/11,32.52,63.47,31.25,101.822138
2020/9/18,32.52,63.47,31.25,106.040824
2020/9/25,32.16,60.68,31.25,106.421227
2020/9/30,32.18,60.06,31.25,111.311793
2020/10/14,32.01,58.82,31.25,118.696451
2020/10/16,32.01,58.82,31.25,118.696451
2020/10/23,31.98,58.2,31.08,110.996648
2020/10/28,31.98,58.2,31.08,110.996648
2020/11/2,31.58,57.59,30.67,117.809256
2020/11/9,31.53,56.35,30.67,115.540047
2020/11/16,31.35,55.11,30.67,113.929378
2020/11/23,31.26,54.49,30.67,113.553686
2020/11/30,30.98,52.94,30.42,117.39787
2020/12/7,30.74,52.01,30.25,114.820403
2020/12/14,30.56,50.77,30.25,122.370149
2020/12/21,30.55,51.08,30.25,134.158079
2020/12/28,30.63,51.7,30.25,151.028676
2021/1/4,30.47,52.01,29.84,144.81673
2021/1/11,30.58,52.94,29.84,154.079117
2021/1/18,30.57,53.87,29.84,144.99403
2021/1/25,30.61,54.49,29.84,156.027419
2021/2/1,30.81,55.73,30.01,154.157328
2021/2/8,30.98,56.97,30.01,158.538332
2021/2/26,32.23,64.4,30.67,148.213831
2021/3/8,34.1,68.73,33.84,133.437186
2021/3/15,34.62,72.14,33.6,138.570513
2021/3/22,35.25,75.23,34.47,136.466648
2021/3/29,35.86,78.33,35.3,133.413264
2021/4/6,36.85,81.42,36.18,134.904364
2021/4/12,37.48,84.83,37.01,128.657251
2021/4/19,38.6,89.47,37.86,128.997937
2021/4/26,39.98,91.95,39.11,132.631514
2021/4/30,40.66,95.36,39.7,
2021/5/10,41.51,98.45,40.11,131.415113
2021/5/17,43.67,104.64,43.55,129.605382
2021/5/24,45.18,116.1,44.24,131.646465
2021/5/31,47.78,128.48,46.67,129.605382
2021/6/7,49.18,134.67,49.87,124.841776
2021/6/15,48.96,134.67,49.54,135.020389
2021/6/21,48.39,134.67,48.47,140.768136
2021/6/28,47.82,134.67,47.64,146.121776
2021/7/5,45.74,134.67,43,148.652642
2021/7/12,44.75,134.67,42.17,154.809095
