指标名称,中国:产量:智能手机:累计值,中国:产量:智能手机:当月值,中国:产量:智能手机:当月同比
2016/1/31,10814,10814,
2016/2/29,21628,10814,
2016/3/31,32897,11218,11.5
2016/4/30,43472,11204,7.6
2016/5/31,54265,11294,11.7
2016/6/30,68789,13150,25.7
2016/7/31,80268,12290,13.4
2016/8/31,93358,12961,15.8
2016/9/30,108408,15056,16.5
2016/10/31,123823,15191,9.6
2016/11/30,140066,16050,3.1
2016/12/31,157472,15682,9.9
2017/1/31,11361,11361,5.1 
2017/2/28,22722,11361,5.1 
2017/3/31,35866.2,12838.6,14.4 
2017/4/30,45395,11442,2.1 
2017/5/31,56399,10525,-6.8 
2017/6/30,69367,12719,-3.3 
2017/7/31,82075,12509,1.8 
2017/8/31,93720,12039,-7.1 
2017/9/30,107757,14399,-4.4 
2017/10/31,119799,13680,-9.9 
2017/11/30,130182,13982,-12.9 
2017/12/31,142901,13629,-13.1 
2018/1/31,9718,9718,-14.5 
2018/2/28,19436,9718,-14.5 
2018/3/31,31182,11581,-9.8 
2018/4/30,42640,10850,-5.2 
2018/5/31,53474,10868,3.3 
2018/6/30,64405,10798,-15.1 
2018/7/31,75115,10504,-16.0 
2018/8/31,84702,11600,-3.6 
2018/9/30,97542,12694,-11.8 
2018/10/31,109706,12261,-10.4 
2018/11/30,123918,13545,-3.1 
2018/12/31,136928,12195,-10.5 
2019/1/31,8583,8583,-11.7 
2019/2/28,17166,8583,-11.7 
2019/3/31,26524,10599,-8.5 
2019/4/30,37407,10788,-0.6 
2019/5/31,49194,10961,0.9 
2019/6/30,59799,10674,-1.1 
2019/7/31,69666,9881,-5.9 
2019/8/31,80067,10083,-13.1 
2019/9/30,90633,12065,-5.0 
2019/10/31,101559,11547,-5.8 
2019/11/30,114491,13047,-3.7 
2019/12/31,122719,11855,-2.8 
2020/1/31,4918,4918,-42.7 
2020/2/29,9836,4918,-42.7 
2020/3/31,18839,8855,-16.5 
2020/4/30,27452,8677,-19.6 
2020/5/31,35634,9054,-17.4 
2020/6/30,46067,10406,-2.5 
2020/7/31,55499,9454,-4.3 
2020/8/31,65280,9401,-6.8 
2020/9/30,75750,10491,-13.0 
2020/10/31,85450,9603,-16.8 
2020/11/30,97619,11354,-13.0 
2020/12/31,110301,12355,4.2 
2021/1/31,7224,7224,46.9 
2021/2/28,14448,7224,46.9 
2021/3/31,26639,10539,19.0 
2021/4/30,36063,9743,12.3 
2021/5/31,46269,10273,13.5 
2021/6/30,57305,11007,5.8 
2021/7/31,66778,9496,0.4 
2021/8/31,77642,10292,9.5 
2021/9/30,88854,11582,10.4 
2021/10/31,99524,10874,13.2 
2021/11/30,111973,12457,9.7 
2021/12/31,127245,13554,9.7 
2022/1/31,7691.5,7691.5,6.5 
2022/2/28,15383,7691.5,6.5 
2022/3/31,27369,11005,4.4 
2022/4/30,37179,9614,-1.3 
2022/5/31,47013,9795,-4.7 
2022/6/30,57553,10485,-4.7 
2022/7/31,66472,8913,-6.1 
2022/8/31,75686,9327,-9.4 
2022/9/30,87417,11476,-0.9 
2022/10/31,98835,11395,4.8 
2022/11/30,109241,10041,-19.4 
2022/12/31,116578,10507,-22.5 
2023/1/31,6723.5,6723.5,-12.6 
2023/2/28,13447,6723.5,-12.6 
2023/3/31,23920,10385,-5.6 
2023/4/30,32222,8648,-10.0 
2023/5/31,41570,9158,-6.5 
2023/6/30,50747,9679,-7.7 
2023/7/31,59251,8880,-0.4 
2023/8/31,67863,9009,-3.4 
2023/9/30,79202,11339,-1.2 
2023/10/31,90643,11297,-0.9 
2023/11/30,102779,12127,20.8 
2023/12/31,114463,12909,22.9 
2024/1/31,8620,8620,28.2 
2024/2/29,17240,8620,28.2 
2024/3/31,27648,10422,0.4 
2024/4/30,36727,9104,5.3 
2024/5/31,46198,9225,0.7 
2024/6/30,56255,9979,3.1 
2024/7/31,65381,9234,4.0 
,,,
数据来源：Wind,,,
