指标名称,半导体:销售额:合计:当月同比,半导体:销售额:合计:当月值,半导体:销售额:中国:当月同比,半导体:销售额:中国:当月值
2000/1/31,,14.84,,
2000/2/29,,14.64,,
2000/4/30,,15.28,,
2000/5/31,,15.9,,
2000/6/30,,16.74,,
2000/8/31,,18.08,,
2000/9/30,,18.44,,
2000/10/31,,18.65,,
2000/11/30,,18.64,,
2000/12/31,,17.89,,
2001/1/31,13.7,16.63,,
2001/2/28,5.8,15.49,,
2001/3/31,,14.4,,
2001/4/30,-10.2,13.72,,
2001/5/31,-20.1,12.71,,
2001/6/30,-30.7,11.6,,
2001/7/31,,10.81,,
2001/8/31,-42,10.49,,
2001/9/30,-44.6,10.18,,
2001/10/31,-44.1,10.44,,
2001/11/30,-43.1,10.6,,
2001/12/31,-43.1,10.18,,
2002/1/31,-39.8,10.01,,
2002/2/28,-35.3,10.03,,
2002/3/31,-25.4,10.73,,
2002/4/30,-19.4,11.07,,
2002/5/31,-10.5,11.37,,
2002/6/30,-1.6,11.35,,
2002/7/31,8,11.68,,
2002/8/31,14.2,11.93,,
2002/9/30,20.6,12.29,,
2002/10/31,19.9,12.51,,
2002/11/30,21,12.83,,
2002/12/31,23.1,12.53,,
2003/1/31,22,12.25,,
2003/2/28,18.1,11.82,,
2003/3/31,13,12.14,,
2003/4/30,9.7,12.26,,
2003/5/31,9.9,12.49,,
2003/6/30,10.4,12.54,,
2003/7/31,10.5,12.9,,
2003/8/31,12.5,13.56,,
2003/9/30,17.5,14.45,,
2003/10/31,23.3,15.43,,
2003/11/30,25.7,16.12,,
2003/12/31,28,16.03,,
2004/1/31,26.9,15.55,,
2004/2/29,30.8,15.58,,
2004/3/31,32.3,16.27,,
2004/4/30,36.6,16.97,,
2004/5/31,36.9,17.32,,
2004/6/30,40.3,17.81,,
2004/7/31,37.9,18.01,,
2004/8/31,34.2,18.23,,
2004/9/30,27.4,18.51,,
2004/10/31,21.8,18.78,,
2004/11/30,18,19.03,,
2004/12/31,14.6,18.37,,
2005/1/31,18.4,18.41,,
2005/2/28,15.8,18.04,,
2005/3/31,12.9,18.37,,
2005/4/30,6.9,18.14,,
2005/5/31,4.5,18.1,,
2005/6/30,0.8,17.96,,
2005/7/31,-0.1,18,,
2005/8/31,2,18.6,,
2005/9/30,5.9,19.6,,
2005/10/31,7,20.1,,
2005/11/30,7.3,20.41,,
2005/12/31,8.6,19.95,,
2006/1/31,7,19.65,,
2006/2/28,6.8,19.6,,
2006/3/31,7.2,19.7,,
2006/4/30,8.1,19.6,,
2006/5/31,9.4,19.7,,
2006/6/30,9,19.8,,
2006/7/31,11.5,20.1,,
2006/8/31,10.5,20.51,,
2006/9/30,9.3,21.37,,
2006/10/31,9.2,22.02,,
2006/11/30,11.3,22.55,,
2006/12/31,9,21.74,,
2007/1/31,9.2,21.48,,
2007/2/28,4.2,20.13,,
2007/3/31,3.2,20.34,,
2007/4/30,1.6,20.04,,
2007/5/31,2.4,20.3,,
