指标名称,光伏行业综合价格指数(SPI):硅片,现货价(周平均价):多晶硅片(156mm×156mm)
2011/7/13,,2.08
2011/7/20,,2.045
2011/7/27,,2.035
2011/8/3,,2.01
2011/8/10,,2.01
2011/8/17,,2
2011/8/24,,1.99
2011/8/31,,1.98
2011/9/7,,1.95
2011/9/14,,1.92
2011/9/21,,1.87
2011/9/28,,1.825
2011/10/5,,1.72
2011/10/12,,1.63
2011/10/19,,1.55
2011/10/26,,1.45
2011/11/2,,1.35
2011/11/9,,1.25
2011/11/16,,1.18
2011/11/23,,1.155
2011/11/30,,1.14
2011/12/7,,1.139
2011/12/14,,1.132
2011/12/21,,1.132
2011/12/28,,1.122
2012/1/4,,1.126
2012/1/11,,1.134
2012/1/18,,1.138
2012/1/25,,1.14
2012/2/1,,1.155
2012/2/8,,1.206
2012/2/15,,1.24
2012/2/22,,1.246
2012/2/29,,1.246
2012/3/7,,1.24
2012/3/14,,1.223
2012/3/21,,1.19
2012/3/28,,1.155
2012/4/4,,1.114
2012/4/11,,1.092
2012/4/18,,1.081
2012/4/25,,1.074
2012/5/2,,1.068
2012/5/9,,1.062
2012/5/16,,1.058
2012/5/23,,1.061
2012/5/30,,1.068
2012/6/6,,1.068
2012/6/13,,1.064
2012/6/20,,1.064
2012/6/27,,1.064
2012/7/4,,1.064
2012/7/11,,1.062
2012/7/18,,1.061
2012/7/25,,1.06
2012/8/1,,1.055
2012/8/8,,1.048
2012/8/15,,1.04
2012/8/22,,1.036
2012/8/29,,1.018
2012/9/5,,1.003
2012/9/12,,0.999
2012/9/19,,0.961
2012/9/26,,0.938
2012/10/3,,0.932
2012/10/10,,0.905
2012/10/17,,0.876
2012/10/24,,0.858
2012/10/31,,0.839
2012/11/7,,0.822
2012/11/14,,0.82
2012/11/21,,0.816
2012/11/28,,0.815
2012/12/5,,0.813
2012/12/12,,0.81
2012/12/19,,0.808
2012/12/26,,0.807
2013/1/2,,0.807
2013/1/9,,0.807
2013/1/16,,0.808
2013/1/23,,0.819
2013/1/30,,0.822
2013/2/6,,0.837
2013/2/13,,0.84
2013/2/20,,0.849
