,SF.CZC_open,SF.CZC_high,SF.CZC_low,SF.CZC_close,SF.CZC_volume,SM.CZC_open,SM.CZC_high,SM.CZC_low,SM.CZC_close,SM.CZC_volume,仓单数量:锰硅,仓单数量:硅铁
2013-01-04,,,,,,,,,,,,
2013-01-07,,,,,,,,,,,,
2013-01-08,,,,,,,,,,,,
2013-01-09,,,,,,,,,,,,
2013-01-10,,,,,,,,,,,,
2013-01-11,,,,,,,,,,,,
2013-01-14,,,,,,,,,,,,
2013-01-15,,,,,,,,,,,,
2013-01-16,,,,,,,,,,,,
2013-01-17,,,,,,,,,,,,
2013-01-18,,,,,,,,,,,,
2013-01-21,,,,,,,,,,,,
2013-01-22,,,,,,,,,,,,
2013-01-23,,,,,,,,,,,,
2013-01-24,,,,,,,,,,,,
2013-01-25,,,,,,,,,,,,
2013-01-28,,,,,,,,,,,,
2013-01-29,,,,,,,,,,,,
2013-01-30,,,,,,,,,,,,
2013-01-31,,,,,,,,,,,,
2013-02-01,,,,,,,,,,,,
2013-02-04,,,,,,,,,,,,
2013-02-05,,,,,,,,,,,,
2013-02-06,,,,,,,,,,,,
2013-02-07,,,,,,,,,,,,
2013-02-08,,,,,,,,,,,,
2013-02-18,,,,,,,,,,,,
2013-02-19,,,,,,,,,,,,
2013-02-20,,,,,,,,,,,,
2013-02-21,,,,,,,,,,,,
2013-02-22,,,,,,,,,,,,
2013-02-25,,,,,,,,,,,,
2013-02-26,,,,,,,,,,,,
2013-02-27,,,,,,,,,,,,
2013-02-28,,,,,,,,,,,,
2013-03-01,,,,,,,,,,,,
2013-03-04,,,,,,,,,,,,
2013-03-05,,,,,,,,,,,,
2013-03-06,,,,,,,,,,,,
2013-03-07,,,,,,,,,,,,
2013-03-08,,,,,,,,,,,,
2013-03-11,,,,,,,,,,,,
2013-03-12,,,,,,,,,,,,
2013-03-13,,,,,,,,,,,,
2013-03-14,,,,,,,,,,,,
2013-03-15,,,,,,,,,,,,
2013-03-18,,,,,,,,,,,,
2013-03-19,,,,,,,,,,,,
2013-03-20,,,,,,,,,,,,
2013-03-21,,,,,,,,,,,,
2013-03-22,,,,,,,,,,,,
2013-03-25,,,,,,,,,,,,
2013-03-26,,,,,,,,,,,,
2013-03-27,,,,,,,,,,,,
2013-03-28,,,,,,,,,,,,
2013-03-29,,,,,,,,,,,,
2013-04-01,,,,,,,,,,,,
2013-04-02,,,,,,,,,,,,
2013-04-03,,,,,,,,,,,,
2013-04-08,,,,,,,,,,,,
2013-04-09,,,,,,,,,,,,
2013-04-10,,,,,,,,,,,,
2013-04-11,,,,,,,,,,,,
2013-04-12,,,,,,,,,,,,
2013-04-15,,,,,,,,,,,,
2013-04-16,,,,,,,,,,,,
2013-04-17,,,,,,,,,,,,
2013-04-18,,,,,,,,,,,,
2013-04-19,,,,,,,,,,,,
2013-04-22,,,,,,,,,,,,
2013-04-23,,,,,,,,,,,,
2013-04-24,,,,,,,,,,,,
2013-04-25,,,,,,,,,,,,
2013-04-26,,,,,,,,,,,,
2013-05-02,,,,,,,,,,,,
2013-05-03,,,,,,,,,,,,
2013-05-06,,,,,,,,,,,,
2013-05-07,,,,,,,,,,,,
2013-05-08,,,,,,,,,,,,
2013-05-09,,,,,,,,,,,,
2013-05-10,,,,,,,,,,,,
2013-05-13,,,,,,,,,,,,
2013-05-14,,,,,,,,,,,,
2013-05-15,,,,,,,,,,,,
2013-05-16,,,,,,,,,,,,
2013-05-17,,,,,,,,,,,,
2013-05-20,,,,,,,,,,,,
2013-05-21,,,,,,,,,,,,
2013-05-22,,,,,,,,,,,,
2013-05-23,,,,,,,,,,,,
2013-05-24,,,,,,,,,,,,
2013-05-27,,,,,,,,,,,,
2013-05-28,,,,,,,,,,,,
2013-05-29,,,,,,,,,,,,
2013-05-30,,,,,,,,,,,,
2013-05-31,,,,,,,,,,,,
2013-06-03,,,,,,,,,,,,
2013-06-04,,,,,,,,,,,,
2013-06-05,,,,,,,,,,,,
2013-06-06,,,,,,,,,,,,
2013-06-07,,,,,,,,,,,,
2013-06-13,,,,,,,,,,,,
2013-06-14,,,,,,,,,,,,
2013-06-17,,,,,,,,,,,,
2013-06-18,,,,,,,,,,,,
2013-06-19,,,,,,,,,,,,
2013-06-20,,,,,,,,,,,,
2013-06-21,,,,,,,,,,,,
2013-06-24,,,,,,,,,,,,
2013-06-25,,,,,,,,,,,,
2013-06-26,,,,,,,,,,,,
2013-06-27,,,,,,,,,,,,
2013-06-28,,,,,,,,,,,,
2013-07-01,,,,,,,,,,,,
2013-07-02,,,,,,,,,,,,
2013-07-03,,,,,,,,,,,,
2013-07-04,,,,,,,,,,,,
2013-07-05,,,,,,,,,,,,
2013-07-08,,,,,,,,,,,,
2013-07-09,,,,,,,,,,,,
2013-07-10,,,,,,,,,,,,
2013-07-11,,,,,,,,,,,,
2013-07-12,,,,,,,,,,,,
2013-07-15,,,,,,,,,,,,
2013-07-16,,,,,,,,,,,,
2013-07-17,,,,,,,,,,,,
2013-07-18,,,,,,,,,,,,
2013-07-19,,,,,,,,,,,,
2013-07-22,,,,,,,,,,,,
2013-07-23,,,,,,,,,,,,
2013-07-24,,,,,,,,,,,,
2013-07-25,,,,,,,,,,,,
2013-07-26,,,,,,,,,,,,
2013-07-29,,,,,,,,,,,,
2013-07-30,,,,,,,,,,,,
2013-07-31,,,,,,,,,,,,
2013-08-01,,,,,,,,,,,,
2013-08-02,,,,,,,,,,,,
2013-08-05,,,,,,,,,,,,
2013-08-06,,,,,,,,,,,,
2013-08-07,,,,,,,,,,,,
2013-08-08,,,,,,,,,,,,
