,中国:产量:智能手机:累计值,中国:产量:智能手机:当月值,中国:产量:智能手机:当月同比,中国:出货量:智能手机:当月值,中国:出货量:手机:当月值,中国:36个大中城市:日用工业消费品平均价格:手机(彩屏带摄像头),半导体:销售额:合计:当月同比,半导体:销售额:合计:当月值,半导体:销售额:中国:当月同比,半导体:销售额:中国:当月值,全球:数字芯片:销售额:当月值,全球:数字芯片:销售额:当月同比,全球:汽车类数字芯片:单价:当月值,全球:汽车类数字芯片:销量:当月值,全球:消费类数字芯片:单价:当月值,全球:消费类数字芯片:销量:当月值,全球:计算机及周边数字芯片:单价:当月值,全球:计算机及周边数字芯片:销量:当月值,半导体制造:联发科:营业收入:当月值
2013-01-31,,,,3436.8,4764.6,1410.0,3.8,26.13,,,6648786.0,-1.66,1.27,98904.0,5.69,128176.0,5.4,241163.0,84.53
2013-02-28,,,,1643.5,2079.2,1403.0,1.4,25.14,,,5836935.0,-12.21,1.3,88489.0,5.58,136573.0,5.34,208239.0,60.92
2013-03-31,,,,4705.8,6394.2,1396.0,0.9,25.42,,,7344430.0,25.83,1.41,95659.0,5.24,173298.0,6.29,243325.0,94.3
2013-04-30,,,,4036.5,5545.9,,-1.8,25.57,,,6475378.0,-11.83,1.15,112637.0,4.64,149354.0,5.0,252678.0,125.72
2013-05-31,,,,4521.5,5908.1,,1.3,26.75,,,6660569.0,2.86,1.22,108211.0,4.74,144988.0,4.93,252750.0,109.31
2013-06-30,,,,3006.5,4248.8,1404.0,2.1,26.96,,,7113687.0,6.8,1.33,109052.0,4.52,171270.0,5.19,287836.0,97.73
2013-07-31,,,,3621.1,5420.8,,5.1,27.66,,,7095803.0,-0.25,1.28,109204.0,4.34,181853.0,4.55,300150.0,132.18
2013-08-31,,,,3522.7,5078.2,1380.0,6.4,28.02,,,7060864.0,-0.49,1.31,104729.0,4.24,166949.0,4.9,286224.0,127.48
2013-09-30,,,,3252.5,4371.9,,8.7,28.94,,,8472820.0,20.0,1.4,105308.0,4.18,192549.0,5.13,304607.0,130.42
2013-10-31,,,,2949.2,3997.3,1389.0,7.2,29.17,,,7447603.0,-12.1,1.36,103480.0,3.93,174708.0,4.79,286993.0,138.88
2013-11-30,,,,3372.0,4567.1,1372.0,6.8,29.35,,,7509244.0,0.83,1.45,98416.0,3.98,173175.0,4.94,289670.0,128.22
2013-12-31,,,,4156.8,5339.4,1378.0,7.7,28.76,,,8261076.0,10.01,1.54,96599.0,4.09,172125.0,5.26,307647.0,130.88
2014-01-31,,,,3509.3,3984.7,1365.0,8.8,28.36,,,6978819.0,-15.52,1.35,102760.0,3.77,169255.0,5.49,263122.0,128.44
2014-02-28,,,,1945.4,2143.4,1360.0,11.4,27.93,,,6817139.0,-2.32,1.34,100771.0,3.25,193445.0,5.97,228141.0,157.32
2014-03-31,,,,3455.8,3953.3,1396.0,11.4,28.04,,,7694603.0,12.87,1.45,119562.0,3.39,208405.0,6.2,236359.0,174.29
2014-04-30,,,,3552.9,4071.2,1318.0,11.5,28.24,,,7122133.0,-7.44,1.3,113343.0,3.43,199658.0,5.21,270390.0,190.97
2014-05-31,,,,3163.1,3646.9,1294.0,8.8,28.8,,,7245363.0,1.73,1.32,118130.0,3.72,219956.0,5.79,253353.0,193.3
2014-06-30,,,,3699.7,4245.1,1282.0,10.8,29.55,,,8341101.0,15.12,1.45,135392.0,3.94,249533.0,5.4,284674.0,157.06
2014-07-31,,,,3631.0,4233.0,1285.0,9.9,30.26,,,7421514.0,-11.02,1.28,127414.0,3.11,276741.0,4.63,344566.0,192.7
2014-08-31,,,,2404.9,3027.5,1285.0,9.4,30.65,,,7401483.0,-0.27,1.32,118654.0,2.93,271143.0,4.8,319094.0,196.56
2014-09-30,,,,3014.9,3592.6,1306.0,8.0,31.23,,,8529127.0,15.24,1.4,146167.0,3.0,301056.0,4.47,367616.0,185.46
2014-10-31,,,,2819.4,3359.7,1308.0,9.6,31.7,,,7969846.0,-6.56,1.23,126477.0,3.45,233702.0,4.18,374664.0,216.04
2014-11-30,,,,3848.9,4454.3,1299.0,9.1,31.67,,,7602075.0,-4.61,1.23,122477.0,3.39,224910.0,4.46,341238.0,167.73
2014-12-31,,,,3832.8,4511.0,1292.0,9.3,30.97,,,8509799.0,11.94,1.45,121938.0,3.5,240151.0,4.79,332159.0,170.75
2015-01-31,,,,4042.0,4706.1,1284.0,8.7,30.35,,,7339434.0,-13.75,1.15,128828.0,3.1,212145.0,4.3,344715.0,174.64
