指标名称,光伏行业综合价格指数(SPI):硅片,现货价(周平均价):多晶硅片(156mm×156mm)
2013-01-02,,0.807
2013-01-09,,0.807
2013-01-16,,0.808
2013-01-23,,0.819
2013-01-30,,0.822
2013-02-06,,0.837
2013-02-13,,0.84
2013-02-20,,0.849
2013-02-27,,0.851
2013-03-06,,0.859
2013-03-13,,0.861
2013-03-20,,0.862
2013-03-27,,0.862
2013-04-03,,0.862
2013-04-10,,0.862
2013-04-17,,0.852
2013-04-23,,
2013-04-24,,0.845
2013-04-30,,
2013-05-01,,0.842
2013-05-07,,
2013-05-08,,0.842
2013-05-14,,
2013-05-15,,0.842
2013-05-21,,
2013-05-22,,0.842
2013-05-28,,
2013-05-29,,0.842
2013-06-04,,
2013-06-05,,0.842
2013-06-12,,0.842
2013-06-18,,
2013-06-19,,0.842
2013-06-25,,
2013-06-26,,0.843
2013-07-02,,
2013-07-03,,0.844
2013-07-09,,
2013-07-10,,0.844
2013-07-16,,
2013-07-17,,0.844
2013-07-23,,
2013-07-24,,0.84
2013-07-30,,
2013-07-31,,0.839
2013-08-06,,
2013-08-07,,0.838
2013-08-13,,
2013-08-14,,0.838
2013-08-20,,
2013-08-21,,0.837
2013-08-27,,
2013-08-28,,0.835
2013-09-03,,
2013-09-04,,0.84
2013-09-10,,
2013-09-11,,0.847
2013-09-17,,
2013-09-18,,0.847
2013-09-24,,
2013-09-25,,0.85
2013-10-02,,0.85
2013-10-08,,
2013-10-09,,0.86
2013-10-15,,
2013-10-16,,0.866
2013-10-22,,
2013-10-23,,0.866
2013-10-29,,
2013-10-30,,0.873
2013-11-05,,
2013-11-06,,0.873
2013-11-12,,
2013-11-13,,0.874
2013-11-19,,
2013-11-20,,0.874
2013-11-26,,
2013-11-27,,0.874
2013-12-03,,
2013-12-04,,0.881
2013-12-10,,
2013-12-11,,0.9
2013-12-17,,
2013-12-18,,0.902
2013-12-24,,
2013-12-25,,0.921
2013-12-31,,
2014-01-01,,0.926
2014-01-07,,
2014-01-08,,0.932
2014-01-14,,
2014-01-15,,0.939
2014-01-21,,
2014-01-22,,0.94
2014-01-28,,
2014-01-29,,0.941
2014-02-05,,0.941
2014-02-11,,
2014-02-12,,0.941
2014-02-18,,
2014-02-19,,0.941
2014-02-25,,
2014-02-26,,0.941
2014-03-04,,
2014-03-05,,0.941
2014-03-11,,
2014-03-12,,0.939
2014-03-18,,
2014-03-19,,0.935
2014-03-25,,
2014-03-26,,0.932
2014-04-01,,
2014-04-02,,0.927
2014-04-04,101.53,
2014-04-08,,
2014-04-09,,0.92
2014-04-11,101.53,
2014-04-15,,
2014-04-16,,0.918
2014-04-18,101.53,
2014-04-22,,
2014-04-23,,0.916
2014-04-25,101.53,
2014-04-29,,
2014-04-30,,0.909
2014-05-06,,
2014-05-07,,0.899
2014-05-09,101.03,
2014-05-13,,
2014-05-14,,0.898
2014-05-16,101.03,
2014-05-20,,
2014-05-21,,0.896
2014-05-23,101.03,
2014-05-27,,
2014-05-28,,0.893
2014-05-30,100.0,
2014-06-03,,
2014-06-04,,0.885
2014-06-06,100.0,
2014-06-10,,
2014-06-11,,0.879
2014-06-13,100.0,
2014-06-17,,
2014-06-18,,0.874
2014-06-20,100.0,
2014-06-24,,
2014-06-25,,0.866
2014-06-27,100.0,
2014-07-01,,
2014-07-02,,0.861
2014-07-04,98.63,
2014-07-08,,
2014-07-09,,0.86
2014-07-11,97.43,
2014-07-15,,
2014-07-16,,0.858
2014-07-18,96.97,
2014-07-22,,
2014-07-23,,0.857
2014-07-25,96.9,
2014-07-29,,
2014-07-30,,0.853
2014-08-01,96.26,
2014-08-05,,
2014-08-06,,0.843
2014-08-08,96.08,
2014-08-12,,
2014-08-13,,0.839
2014-08-15,95.91,
2014-08-19,,
2014-08-20,,0.836
2014-08-22,95.65,
2014-08-26,,
2014-08-27,,0.835
2014-08-29,95.62,
2014-09-02,,
2014-09-03,,0.835
2014-09-05,96.85,
2014-09-09,,
2014-09-10,,0.838
2014-09-12,96.85,
2014-09-16,,
2014-09-17,,0.846
2014-09-19,96.85,
2014-09-23,,
2014-09-24,,0.855
2014-09-26,96.85,
2014-10-01,,0.855
2014-10-08,,0.87
2014-10-10,96.85,
2014-10-15,,0.878
2014-10-17,96.85,
2014-10-22,,0.88
2014-10-24,96.85,
2014-10-29,,0.88
2014-10-31,96.45,
2014-11-05,,0.88
2014-11-07,95.61,
2014-11-12,,0.88
2014-11-14,95.61,
2014-11-19,,0.88
2014-11-20,,
2014-11-21,95.61,
2014-11-26,,0.88
2014-11-27,,
2014-11-28,95.49,
2014-12-03,,0.88
2014-12-05,95.49,
2014-12-10,,0.879
2014-12-11,,
2014-12-12,95.49,
2014-12-17,,0.877
2014-12-18,,
2014-12-19,95.49,
2014-12-24,,0.874
2014-12-25,,
2014-12-26,95.49,
2014-12-31,,0.873
2015-01-07,,0.872
2015-01-08,,
2015-01-09,94.63,
2015-01-14,,0.87
2015-01-15,,
2015-01-16,94.34,
2015-01-21,,0.867
2015-01-23,94.2,
2015-01-28,,0.864
2015-01-30,94.2,
2015-02-04,,0.853
2015-02-05,,
2015-02-06,94.2,
