,B.IPE_open,B.IPE_high,B.IPE_low,B.IPE_close,B.IPE_volume
2012-01-04,111.5,118.52,110.1,113.33,148343.0
2012-01-05,113.55,114.22,111.75,112.36,133734.0
2012-01-06,112.1,113.3,111.75,113.22,148616.0
2012-01-09,113.13,113.58,111.67,112.32,164340.0
2012-01-10,112.37,113.76,112.3,112.96,180303.0
2012-01-11,112.9,113.38,111.75,112.06,209286.0
2012-01-12,112.4,114.77,110.13,111.05,227777.0
2012-01-13,111.07,112.24,109.69,110.35,242271.0
2012-01-16,110.61,111.6,110.4,111.34,90612.0
2012-01-17,111.42,112.76,110.56,111.53,189959.0
2012-01-18,111.46,112.2,110.33,110.66,213897.0
2012-01-19,111.1,111.75,110.37,111.55,173945.0
2012-01-20,111.53,112.06,109.36,110.14,156805.0
2012-01-30,111.6,111.8,108.0,110.93,156137.0
2012-01-31,110.98,113.9,110.5,111.1,226054.0
2012-02-01,111.3,112.82,111.02,111.56,210932.0
2012-02-02,111.51,112.56,111.04,112.07,213050.0
2012-02-03,112.5,114.71,111.93,113.29,247676.0
2012-02-06,114.54,116.39,113.36,115.63,124842.0
2012-02-07,116.34,117.08,115.23,115.8,157363.0
2012-02-08,115.74,117.4,115.41,116.63,178552.0
2012-02-09,117.29,118.26,116.7,118.04,177160.0
2012-02-10,118.11,118.11,115.8,116.75,173624.0
2012-02-13,117.14,117.99,116.9,117.39,210271.0
2012-02-14,117.46,117.9,116.53,117.35,224146.0
2012-02-15,117.44,119.99,117.4,118.93,223574.0
2012-02-16,118.9,120.38,118.32,120.11,205126.0
2012-02-17,120.13,120.7,118.85,119.58,183825.0
2012-02-20,120.0,121.15,119.8,120.05,64824.0
2012-02-21,120.07,121.88,119.21,121.66,156159.0
2012-02-22,121.5,123.23,121.0,122.9,180940.0
2012-02-23,122.73,124.5,122.1,123.62,214761.0
2012-02-24,124.01,125.55,123.3,125.47,146862.0
2012-02-27,125.25,125.51,123.0,124.17,177944.0
2012-02-28,123.39,123.95,121.5,121.55,195248.0
2012-02-29,121.61,123.2,120.5,122.66,243681.0
2012-03-01,123.0,128.4,122.49,126.2,260752.0
2012-03-02,126.16,126.16,123.12,123.65,196633.0
