,CL.NYM_open,CL.NYM_high,CL.NYM_low,CL.NYM_close,CL.NYM_volume
2012-01-04,102.99,103.74,101.88,103.25,255238.0
2012-01-05,103.29,103.73,101.3,101.37,279458.0
2012-01-06,101.35,102.8,100.88,102.0,269460.0
2012-01-09,101.92,102.15,100.1,101.33,286039.0
2012-01-10,101.3,103.41,101.3,102.11,266882.0
2012-01-11,102.2,102.46,100.55,101.09,280835.0
2012-01-12,101.0,102.98,98.5,99.36,341400.0
2012-01-13,99.2,100.19,97.7,99.03,290768.0
2012-01-16,,,,99.03,
2012-01-17,98.95,101.01,98.6,100.87,309656.0
2012-01-18,100.91,102.06,99.84,100.95,252967.0
2012-01-19,101.14,102.06,99.98,100.36,87720.0
2012-01-20,100.48,100.91,98.02,98.5,287604.0
2012-01-30,100.0,100.05,98.43,99.07,197802.0
2012-01-31,98.88,101.29,97.86,98.4,351698.0
2012-02-01,98.38,99.49,97.11,97.17,272348.0
2012-02-02,97.11,97.99,95.44,96.67,308738.0
2012-02-03,96.61,98.03,96.01,97.69,297575.0
2012-02-06,97.74,97.75,96.38,97.2,240403.0
2012-02-07,97.13,99.13,95.84,98.61,385704.0
2012-02-08,98.77,100.09,98.1,98.98,339608.0
2012-02-09,99.1,100.18,98.66,99.75,267614.0
2012-02-10,99.89,99.89,97.32,99.09,270760.0
2012-02-13,99.33,100.87,99.09,100.73,241077.0
2012-02-14,100.73,101.84,100.28,100.92,285617.0
2012-02-15,100.9,102.54,100.61,101.85,258119.0
2012-02-16,101.9,102.69,100.84,102.28,183981.0
2012-02-17,102.35,104.14,102.25,103.85,111239.0
2012-02-20,,,,103.85,
2012-02-21,104.75,106.48,104.61,105.87,304338.0
2012-02-22,106.01,106.72,105.61,106.1,229406.0
2012-02-23,105.95,108.74,105.45,108.54,310683.0
2012-02-24,108.66,109.95,107.95,109.45,252985.0
2012-02-27,109.67,109.77,107.27,107.89,264116.0
2012-02-28,107.95,108.79,106.3,106.6,260802.0
2012-02-29,106.46,107.43,104.84,106.86,334040.0
2012-03-01,106.82,110.55,106.55,108.55,369681.0
2012-03-02,108.75,109.03,105.8,106.67,282646.0
2012-03-05,106.75,107.42,105.5,107.04,221830.0
