指标名称,中国:产成品存货:石油和天然气开采业
1999-02-28,626263.0
1999-03-31,610301.2
1999-04-30,528257.1
1999-05-31,567079.6
1999-06-30,540845.6
1999-07-31,554954.2
1999-08-31,568729.8
1999-09-30,592080.6
1999-10-31,679691.8
1999-11-30,554558.7
1999-12-31,545077.3
2000-02-29,509680.6
2000-03-31,564697.1
2000-04-30,555871.5
2000-05-31,593400.2
2000-06-30,490857.1
2000-07-31,590941.7
2000-08-31,587027.9
2000-09-30,631149.8
2000-10-31,682084.0
2000-11-30,630642.4
2000-12-31,588122.3
2001-02-28,391067.7
2001-03-31,491120.4
2001-04-30,471394.3
2001-05-31,454175.9
2001-06-30,500210.8
2001-07-31,498676.7
2001-08-31,542597.1
2001-09-30,484189.4
2001-10-31,628599.1
2001-11-30,586603.9
2001-12-31,504920.6
2002-02-28,479628.1
2002-03-31,569175.3
2002-04-30,429511.5
2002-05-31,394169.9
2002-06-30,445799.6
2002-07-31,424143.8
2002-08-31,439768.2
2002-09-30,477526.0
2002-10-31,468543.4
2002-11-30,436133.0
2002-12-31,425608.8
2003-02-28,408944.5
2003-03-31,391130.4
2003-04-30,431722.5
2003-05-31,436690.4
2003-06-30,440001.5
2003-07-31,433685.5
2003-08-31,515488.6
2003-09-30,425125.8
2003-10-31,447544.7
2003-11-30,436280.2
2003-12-31,411425.7
2004-02-29,397753.3
2004-03-31,446741.2
2004-04-30,451631.4
2004-05-31,491290.2
2004-06-30,562523.7
2004-07-31,547606.2
2004-08-31,609151.3
2004-09-30,617705.1
2004-10-31,608108.2
2004-11-30,637877.7
2004-12-31,660924.4
2005-02-28,528058.8
2005-03-31,616367.3
2005-04-30,667309.2
2005-05-31,664871.1
2005-06-30,665798.0
2005-07-31,703834.8
2005-08-31,720411.5
2005-09-30,780698.7
2005-10-31,787509.0
2005-11-30,882214.2
2005-12-31,798763.8
2006-02-28,1055132.1
2006-03-31,888238.7
2006-04-30,852545.5
2006-05-31,1099853.8
2006-06-30,1129906.9
2006-07-31,1007622.6
2006-08-31,937639.8
2006-09-30,1062037.0
2006-10-31,1073019.1
2006-11-30,1156784.4
2006-12-31,1165478.0
2007-02-28,1080695.4
2007-05-31,1489594.0
2007-08-31,1389504.0
2007-11-30,1555944.1
2008-02-29,1386321.6
2008-05-31,1221644.7
