Unnamed: 0,B.IPE_open,B.IPE_high,B.IPE_low,B.IPE_close,B.IPE_volume,CL.NYM_open,CL.NYM_high,CL.NYM_low,CL.NYM_close,CL.NYM_volume
2013-01-04,111.72,111.78,110.38,111.4,191334.0,92.86,93.21,91.52,93.13,193722.0
2013-01-07,110.22,110.69,109.36,110.59,186789.0,93.21,93.35,92.42,93.19,150125.0
2013-01-08,110.0,111.36,110.0,110.83,193198.0,93.32,93.8,92.67,93.16,174812.0
2013-01-09,110.99,111.25,110.24,110.8,201894.0,93.15,93.65,92.68,93.22,180194.0
2013-01-10,110.89,112.34,110.71,110.99,254129.0,93.6,95.16,93.53,94.23,99970.0
2013-01-11,111.08,111.09,108.9,109.84,227666.0,94.29,94.53,93.06,94.2,103284.0
2013-01-14,109.9,111.22,109.46,111.14,201688.0,94.23,94.73,93.4,94.6,92398.0
2013-01-15,110.98,111.49,109.52,109.62,261410.0,94.71,94.89,93.65,93.89,106838.0
2013-01-16,109.76,110.35,109.33,109.91,220360.0,93.87,94.8,93.55,94.5,169959.0
2013-01-17,109.74,111.38,109.45,110.92,206285.0,94.63,96.5,94.26,95.58,168623.0
2013-01-18,111.1,111.97,110.47,111.67,200797.0,95.65,96.13,95.36,95.85,223436.0
2013-01-21,111.67,111.99,111.41,111.8,86198.0,,,,95.85,
2013-01-22,111.71,112.65,111.35,112.46,226218.0,95.71,96.89,95.47,96.6,244544.0
2013-01-23,112.42,113.15,112.06,112.79,255858.0,96.76,96.92,94.95,95.55,327834.0
2013-01-24,112.76,113.65,112.4,113.36,226466.0,95.5,96.68,95.12,95.9,240846.0
2013-01-25,113.28,113.84,112.83,113.4,221534.0,95.95,96.56,95.43,96.06,194228.0
2013-01-28,113.45,113.8,112.6,113.4,190605.0,96.04,96.81,95.47,96.5,167191.0
2013-01-29,113.48,114.49,113.07,114.2,225630.0,96.46,97.82,96.29,97.3,252559.0
2013-01-30,114.28,115.24,114.07,114.95,219042.0,97.32,98.24,97.32,97.96,210948.0
2013-01-31,114.91,115.76,114.28,115.6,212625.0,97.96,98.04,96.84,97.46,230726.0
2013-02-01,115.77,117.07,115.4,116.63,265779.0,97.42,98.15,96.51,97.6,270117.0
2013-02-04,116.5,116.67,115.32,115.49,238198.0,97.72,97.76,95.89,96.15,206320.0
2013-02-05,114.56,116.23,114.1,115.59,178009.0,96.13,97.07,95.91,96.65,188885.0
2013-02-06,115.53,116.16,114.82,115.97,173618.0,96.64,96.99,95.04,96.75,266466.0
2013-02-07,116.02,116.93,115.8,116.7,215176.0,96.86,97.21,95.54,95.98,274011.0
2013-02-08,116.6,118.19,116.37,117.81,200654.0,95.92,96.57,95.27,95.76,229230.0
2013-02-18,117.81,118.19,116.92,117.4,75808.0,,,,96.63,
2013-02-19,117.48,117.6,116.55,117.2,158098.0,96.39,97.18,95.74,97.07,288689.0
2013-02-20,117.35,117.66,115.02,115.1,239356.0,97.1,97.49,94.21,94.83,338866.0
2013-02-21,115.2,115.31,113.32,113.65,272052.0,94.72,94.92,92.63,92.91,286374.0
2013-02-22,113.6,114.79,113.6,114.3,192322.0,92.96,93.48,92.44,93.36,215997.0
2013-02-25,114.19,115.87,113.31,113.34,209777.0,93.23,94.46,92.07,92.18,217519.0
2013-02-26,113.64,114.34,112.41,112.99,276233.0,91.92,93.44,91.92,92.79,230836.0
2013-02-27,112.8,113.35,111.65,112.0,237390.0,92.72,93.37,92.18,92.78,201503.0
2013-02-28,111.95,112.57,110.87,111.0,242364.0,92.89,93.18,91.57,91.85,218115.0
2013-03-01,110.9,111.36,109.82,110.51,271445.0,91.76,91.97,90.04,91.02,259218.0
2013-03-04,110.58,110.89,109.58,110.04,249236.0,90.71,90.91,89.33,90.38,231082.0
2013-03-05,109.1,110.95,109.1,110.94,149669.0,90.23,90.99,90.02,90.22,209807.0
2013-03-06,110.92,111.29,109.6,109.98,156407.0,90.83,91.17,89.55,90.5,244167.0
2013-03-07,110.13,110.54,109.6,110.07,192643.0,90.42,91.73,90.22,91.36,234573.0
2013-03-08,110.07,110.51,108.6,110.25,247198.0,91.42,92.03,90.83,91.87,236215.0
2013-03-11,110.06,110.1,109.02,109.48,196869.0,92.32,92.62,91.36,92.46,79827.0
2013-03-12,109.6,110.71,108.89,109.13,210455.0,92.46,93.9,92.05,92.92,142483.0
2013-03-13,109.21,109.5,107.66,108.18,312615.0,92.97,93.78,92.27,92.84,123161.0
2013-03-14,108.03,109.43,107.84,109.34,248489.0,92.84,93.59,92.37,92.99,91457.0
2013-03-15,109.32,110.53,109.02,110.05,209980.0,93.39,94.2,93.36,93.78,107521.0
2013-03-18,109.83,109.83,107.78,109.4,198757.0,93.62,94.32,92.14,94.16,158197.0
2013-03-19,109.41,109.54,107.25,107.46,245725.0,94.22,94.47,92.36,92.57,286846.0
2013-03-20,107.59,108.92,107.55,108.58,186305.0,92.42,93.6,92.42,93.38,226792.0
2013-03-21,108.48,108.75,107.08,107.2,208386.0,93.4,93.53,91.84,92.45,214131.0
2013-03-22,107.31,107.96,106.9,107.5,193793.0,92.33,93.94,92.33,93.78,211927.0
2013-03-25,106.86,109.07,106.8,108.18,217747.0,93.72,95.65,93.7,94.6,270651.0
2013-03-26,108.11,109.59,107.71,109.4,226192.0,94.75,96.45,94.67,96.15,214316.0
2013-03-27,109.4,109.98,108.85,109.84,234107.0,96.18,96.84,95.58,96.68,207581.0
2013-03-28,109.85,110.1,108.98,109.77,186029.0,96.68,97.35,96.26,97.23,188588.0
2013-03-29,,,,109.77,,,,,97.23,
2013-04-01,,,,109.77,,97.36,97.8,95.92,96.9,192423.0
2013-04-02,110.64,111.53,109.8,110.53,159038.0,97.0,97.44,95.91,96.78,209811.0
2013-04-03,110.5,110.5,106.59,106.89,288144.0,96.93,96.96,94.18,94.55,302128.0
2013-04-08,104.0,105.58,103.64,104.9,260394.0,93.02,93.75,92.46,93.51,211719.0
2013-04-09,104.9,106.41,104.36,106.15,220511.0,93.49,94.48,92.86,93.96,234613.0
2013-04-10,106.15,106.4,105.25,105.65,181902.0,94.32,95.12,93.72,94.65,105008.0
2013-04-11,105.55,106.0,103.87,104.41,232494.0,94.9,94.96,93.38,93.81,89226.0
2013-04-12,104.4,104.53,101.21,102.85,359203.0,93.85,93.85,90.62,91.0,156036.0
2013-04-15,102.94,103.05,99.12,99.31,325703.0,91.36,91.36,87.53,88.2,175839.0
