指标名称,银行间质押式回购加权利率:7天,银行间质押式回购加权利率:1个月,成交量:银行间质押式回购,中债商业银行同业存单到期收益率(AAA):3个月,中债商业银行同业存单到期收益率(AAA):1年,中债商业银行普通债到期收益率(AAA):1年,中债商业银行普通债到期收益率(AAA):5年,同业存单:发行利率(股份制银行):3个月,同业存单:发行利率(股份制银行):1年,银行间同业拆借加权利率:7天,中国工商银行:定期存款利率:1年(整存整取),中国工商银行:活期存款利率
1999-01-04,4.02,,,,,,,,,,,
1999-01-05,4.05,,,,,,,,,,,
1999-01-06,4.05,,,,,,,,,,,
1999-01-07,4.05,4.719,,,,,,,,,,
1999-01-08,4.05,4.41,,,,,,,,,,
1999-01-11,,4.2,,,,,,,,,,
1999-01-12,4.05,,,,,,,,,,,
1999-01-13,4.136,4.2,,,,,,,,,,
1999-01-14,4.05,4.23,,,,,,,,,,
1999-01-15,4.05,4.23,,,,,,,,,,
1999-01-18,,4.657,,,,,,,,,,
1999-01-20,4.02,4.2,,,,,,,,,,
1999-01-21,4.02,4.2,,,,,,,,,,
1999-01-22,4.02,,,,,,,,,,,
1999-01-25,4.02,4.364,,,,,,,,,,
1999-01-26,4.019,,,,,,,,,,,
1999-01-27,4.02,4.23,,,,,,,,,,
1999-01-28,4.017,4.292,,,,,,,,,,
1999-01-29,,4.32,,,,,,,,,,
1999-02-01,4.02,4.302,,,,,,,,,,
1999-02-02,4.017,,,,,,,,,,,
1999-02-03,4.03,4.5,,,,,,,,,,
1999-02-04,4.02,4.32,,,,,,,,,,
1999-02-05,4.02,4.32,,,,,,,,,,
1999-02-08,4.02,4.326,,,,,,,,,,
1999-02-09,4.061,4.14,,,,,,,,,,
1999-02-12,4.075,,,,,,,,,,,
1999-02-23,4.0,,,,,,,,,,,
1999-02-24,,4.2,,,,,,,,,,
1999-02-25,4.02,,,,,,,,,,,
1999-02-26,4.06,4.15,,,,,,,,,,
1999-03-01,4.02,4.262,,,,,,,,,,
1999-03-02,4.027,4.229,,,,,,,,,,
1999-03-03,4.02,,,,,,,,,,,
1999-03-04,4.035,4.23,,,,,,,,,,
1999-03-05,4.02,4.26,,,,,,,,,,
1999-03-08,4.025,4.228,,,,,,,,,,
1999-03-09,4.026,4.259,,,,,,,,,,
1999-03-10,4.046,4.259,,,,,,,,,,
1999-03-11,4.103,4.32,,,,,,,,,,
1999-03-12,4.08,4.29,,,,,,,,,,
1999-03-15,,4.32,,,,,,,,,,
1999-03-16,4.106,,,,,,,,,,,
1999-03-17,,4.189,,,,,,,,,,
1999-03-18,4.08,,,,,,,,,,,
