指标名称,银行间质押式回购加权利率:7天,银行间质押式回购加权利率:1个月,成交量:银行间质押式回购,中债商业银行同业存单到期收益率(AAA):3个月,中债商业银行同业存单到期收益率(AAA):1年,中债商业银行普通债到期收益率(AAA):1年,中债商业银行普通债到期收益率(AAA):5年,同业存单:发行利率(股份制银行):3个月,同业存单:发行利率(股份制银行):1年,银行间同业拆借加权利率:7天,中国工商银行:定期存款利率:1年(整存整取),中国工商银行:活期存款利率
2013-01-04,4.0393,4.2391,4096.879,,,4.3578,4.7729,,,4.0872,,
2013-01-05,3.6895,,3097.8182,,,4.305,4.7629,,,3.8424,,
2013-01-06,3.504,4.04,2939.0542,,,4.274,4.7535,,,3.6036,,
2013-01-07,3.1695,4.135,5489.6203,,,4.1977,4.759,,,3.308,,
2013-01-08,3.1081,3.7345,5443.2655,,,4.1877,4.764,,,3.2191,,
2013-01-09,2.9946,3.74,5197.8001,,,4.123,4.708,,,3.0538,,
2013-01-10,2.9216,3.7423,6065.9116,,,4.1024,4.687,,,2.9855,,
2013-01-11,2.7347,3.7841,5587.3236,,,4.1024,4.6875,,,2.8077,,
2013-01-14,2.7492,3.8568,6799.2523,,,4.1024,4.6875,,,2.9065,,
2013-01-15,2.8124,3.6435,6364.1053,,,4.0924,4.6947,,,2.9676,,
2013-01-16,2.7833,3.6252,5706.4653,,,4.0724,4.6944,,,2.8735,,
2013-01-17,2.7545,3.8323,6383.0185,,,4.0688,4.6884,,,3.0599,,
2013-01-18,2.8369,4.0179,5967.8285,,,3.9571,4.6784,,,2.9516,,
2013-01-21,2.9364,3.8517,7010.0443,,,3.9236,4.6611,,,3.0686,,
2013-01-22,2.9803,4.0915,6321.751,,,3.8839,4.6411,,,3.1534,,
2013-01-23,2.9777,3.9653,6834.9711,,,3.8776,4.6111,,,3.0176,,
2013-01-24,2.8355,4.0438,7395.2024,,,3.8716,4.6061,,,2.9041,,
2013-01-25,2.6993,3.9826,6855.8897,,,3.8766,4.5961,,,2.7421,,
2013-01-28,2.9842,4.0976,7762.8075,,,3.8982,4.601,,,3.0495,,
2013-01-29,3.1064,4.0283,7703.7641,,,3.9097,4.601,,,3.1244,,
2013-01-30,3.2243,4.156,7446.719,,,3.9042,4.5953,,,3.3073,,
2013-01-31,3.2525,4.4251,8046.6811,,,3.9082,4.5953,,,3.3127,,
2013-02-01,3.3321,4.2818,7410.3271,,,3.9135,4.6053,,,3.4564,,
2013-02-04,3.4695,4.125,7545.1208,,,3.9335,4.6053,,,3.5966,,
2013-02-05,3.3768,4.2147,6611.681,,,3.9235,4.6151,,,3.7045,,
2013-02-06,3.7255,4.1266,5849.7035,,,3.9185,4.6111,,,3.8958,,
2013-02-07,4.094,4.15,4079.3499,,,3.8981,4.6111,,,4.1861,,
2013-02-08,3.529,,2276.1864,,,3.8751,4.6111,,,3.5406,,
2013-02-16,2.7386,,3887.1674,,,3.865,4.6011,,,2.9186,,
2013-02-17,2.916,3.5293,3571.6084,,,3.8435,4.5811,,,3.0576,,
2013-02-18,2.9139,3.3,5473.1245,,,3.8172,4.5811,,,2.9797,,
2013-02-19,2.9148,3.3067,6129.2497,,,3.7972,4.5611,,,2.9927,,
2013-02-20,2.9488,3.3,6474.1939,,,3.7872,4.5446,,,3.0342,,
2013-02-21,2.9989,3.2458,7709.3825,,,3.7772,4.4996,,,2.9899,,
2013-02-22,3.0995,3.2346,7693.3781,,,3.7506,4.4796,,,3.1075,,
2013-02-25,3.2916,3.3284,6848.9718,,,3.7406,4.4775,,,3.3215,,
2013-02-26,3.8247,4.5074,5454.5734,,,3.8106,4.5125,,,3.877,,
2013-02-27,4.2684,4.5732,5747.9825,,,3.8106,4.5148,,,4.3095,,
2013-02-28,4.3009,4.5874,5764.9496,,,3.8226,4.5151,,,4.3972,,
2013-03-01,4.4329,4.2812,5193.2314,,,3.8276,4.5251,,,4.4087,,
2013-03-04,4.2868,3.7639,5632.6198,,,3.8176,4.5399,,,4.3847,,
2013-03-05,3.1859,3.6667,6360.7096,,,3.8376,4.5349,,,3.2443,,
2013-03-06,2.9859,3.5798,6229.9344,,,3.8375,4.513,,,3.019,,
2013-03-07,2.5326,3.5236,6188.7256,,,3.8377,4.5132,,,2.5568,,
2013-03-08,2.4862,3.4324,5690.068,,,3.8101,4.5137,,,2.5493,,
2013-03-11,2.9894,3.3398,6011.194,,,3.8101,4.535,,,3.0758,,
2013-03-12,3.041,3.3242,5848.6187,,,3.8398,4.545,,,3.1269,,
2013-03-13,3.0203,3.3543,5481.6989,,,3.8498,4.565,,,3.0483,,
2013-03-14,3.0939,3.3004,6609.4329,,,3.8632,4.585,,,3.1847,,
2013-03-15,3.3629,3.3348,5507.8873,,,3.8767,4.5871,,,3.5434,,
2013-03-18,3.0319,3.303,6368.6526,,,3.8967,4.5771,,,3.1515,,
2013-03-19,2.9633,3.2901,6731.5589,,,3.9067,4.5971,,,2.9945,,
2013-03-20,3.2896,3.672,5830.633,,,3.8974,4.6032,,,3.3066,,
2013-03-21,3.0616,3.3347,5552.7927,,,3.8878,4.6032,,,3.0934,,
2013-03-22,2.9376,3.403,5639.4371,,,3.9127,4.6032,,,3.0763,,
2013-03-25,2.9187,3.1673,6543.7582,,,3.9106,4.6232,,,3.0097,,
2013-03-26,3.0405,3.272,6935.5206,,,3.9008,4.6446,,,3.0993,,
2013-03-27,2.8637,3.3649,7325.2377,,,3.8996,4.6376,,,2.9653,,
2013-03-28,3.1856,3.4036,8270.7618,,,3.8925,4.5976,,,3.2207,,
2013-03-29,3.4419,3.4554,8759.5019,,,3.8825,4.5813,,,3.5734,,
2013-04-01,3.4117,3.4054,7438.2023,,,3.8756,4.5423,,,3.4454,,
2013-04-02,3.4195,3.3497,7012.401,,,3.8628,4.4914,,,3.5177,,
2013-04-03,3.2388,3.4337,6205.7488,,,3.8513,4.4914,,,3.2875,,
2013-04-07,3.3188,3.2931,6820.6934,,,3.8155,4.4614,,,3.3314,,
2013-04-08,3.2838,3.3003,7503.091,,,3.8114,4.4414,,,3.3151,,
2013-04-09,3.2704,3.2836,7773.9381,,,3.7909,4.4214,,,3.3265,,
2013-04-10,3.21,3.251,7284.182,,,3.7696,4.4014,,,3.2143,,
2013-04-11,3.0262,3.2661,7808.3414,,,3.7826,4.3828,,,3.093,,
2013-04-12,2.9473,3.2045,7847.4797,,,3.7752,4.3835,,,3.1299,,
2013-04-15,2.9725,3.2189,8378.536,,,3.7609,4.3735,,,3.0604,,
2013-04-16,3.0264,3.2894,8542.201,,,3.7143,4.3535,,,3.1784,,
2013-04-17,2.9981,3.2607,8481.3236,,,3.7126,4.3435,,,3.0265,,
2013-04-18,2.9036,3.3024,8142.1812,,,3.7294,4.3935,,,3.0333,,
2013-04-19,3.1076,3.8194,6483.7631,,,3.7594,4.4711,,,3.1133,,
2013-04-22,3.1583,4.271,6425.7254,,,3.8815,4.5704,,,3.1789,,
2013-04-23,3.6412,4.3498,5379.2217,,,3.9474,4.5429,,,3.7533,,
2013-04-24,4.7353,4.6664,4874.0367,,,3.9332,4.5113,,,4.9403,,
2013-04-25,4.9876,4.3142,5100.9595,,,3.9272,4.5115,,,5.0368,,
2013-04-26,3.5547,3.8707,5697.8188,,,3.9172,4.4751,,,3.6171,,
2013-04-27,3.4926,3.5742,4474.6157,,,3.9073,4.4651,,,3.5223,,
2013-04-28,2.985,3.3719,4600.3068,,,3.8974,4.478,,,3.0923,,
2013-05-02,2.9485,3.2983,6557.9478,,,3.8608,4.438,,,3.0095,,
2013-05-03,3.225,3.2351,6304.5156,,,3.8277,4.408,,,3.3025,,
2013-05-06,3.1982,3.251,7300.9883,,,3.817,4.3854,,,3.2382,,
2013-05-07,3.1784,3.2573,6965.2032,,,3.801,4.3797,,,3.2216,,
2013-05-08,2.9861,3.2405,6836.1882,,,3.7881,4.3961,,,3.2478,,
2013-05-09,3.1096,3.285,7214.6673,,,3.8042,4.3725,,,3.3172,,
2013-05-10,2.971,3.2458,6954.0839,,,3.7958,4.3525,,,3.06,,
2013-05-13,2.9022,3.3107,7184.9841,,,3.7763,4.3333,,,2.9938,,
2013-05-14,2.7954,3.2354,7736.9887,,,3.7702,4.3151,,,2.8483,,
2013-05-15,2.7774,3.2614,7552.869,,,3.7657,4.3128,,,2.9327,,
2013-05-16,3.2116,3.4549,7136.8034,,,3.7784,4.3138,,,3.2664,,
2013-05-17,3.7006,4.0148,5162.7419,,,3.7802,4.314,,,3.6833,,
2013-05-20,4.3802,4.5601,5321.2198,,,3.8087,4.3233,,,4.3155,,
2013-05-21,4.4423,4.5298,5357.7278,,,3.8211,4.3254,,,4.4325,,
2013-05-22,4.0287,4.484,5077.4134,,,3.8144,4.3454,,,4.1332,,
2013-05-23,4.2206,4.6524,5658.1343,,,3.8295,4.3014,,,4.3802,,
2013-05-24,4.159,4.6196,5410.0402,,,3.8326,4.2814,,,4.1799,,
2013-05-27,4.0926,4.481,6106.8342,,,3.8351,4.2614,,,4.1417,,
2013-05-28,3.5423,4.0,6489.7617,,,3.8397,4.2849,,,3.5519,,
2013-05-29,3.7087,3.6654,6776.2094,,,3.8397,4.2849,,,3.7338,,
